srcip,dstip,srcport,dstport,proto,td,pkt,byt,label
3232261223,1098901923,51524,23,tcp,2.999051,3.0,0.0,1
3232261223,2209273747,60905,23,tcp,2.998796,3.0,0.0,1
3232261223,2466726347,34243,49560,tcp,2.998804,3.0,0.0,1
3232261223,3250416306,52259,23,tcp,2.9993,3.0,0.0,1
3232261223,178903906,42207,8080,tcp,2.993548,3.0,0.0,1
3232261223,3564025020,40459,23,tcp,2.998807,3.0,0.0,1
3232261121,3232261223,3,1,icmp,3.000055,3.0,180.0,1
3232261223,2813926936,39813,23,tcp,2.99905,3.0,0.0,1
3232261223,2481415173,123,123,udp,0.001239,1.0,48.0,1
3232261223,2957091802,52482,23,tcp,2.999302,3.0,0.0,1
3232261223,2990506127,49307,23,tcp,2.999057,3.0,0.0,1
3232261223,3239810762,52702,2323,tcp,2.999068,3.0,0.0,1
3232261223,3113962306,40485,8080,tcp,2.998813,3.0,0.0,1
3232261223,461882326,48469,2323,tcp,0.99871,2.0,0.0,1
3232261223,916050012,55730,8080,tcp,2.998805,3.0,0.0,1
3232261223,887410538,50261,8080,tcp,2.998806,3.0,0.0,1
3232261223,2643191002,40229,23,tcp,2.998556,3.0,0.0,1
3232261223,2203049501,33032,2323,tcp,2.998807,3.0,0.0,1
3232261223,2748834820,37533,9527,tcp,2.998805,3.0,0.0,1
3232261223,2245439834,58116,9527,tcp,2.99906,3.0,0.0,1
3232261223,3319826953,33685,34797,tcp,2.99856,3.0,0.0,1
3232261223,1790636566,35197,23,tcp,2.998807,3.0,0.0,1
3232261223,2540231283,42973,8080,tcp,2.999056,3.0,0.0,1
3232261223,153812866,60438,8080,tcp,2.998798,3.0,0.0,1
3232261223,1507710594,123,123,udp,0.003737,1.0,48.0,1
3232261223,1863715049,48602,8080,tcp,2.999059,3.0,0.0,1
3232261223,3695039055,36104,2323,tcp,2.999062,3.0,0.0,1
3232261223,2707041087,37334,23,tcp,2.999066,3.0,0.0,1
3232261223,633038892,123,123,udp,0.026467,1.0,48.0,1
3232261223,2384244781,35728,23,tcp,2.999056,3.0,0.0,1
3232261223,2115201282,42885,23,tcp,2.99905,3.0,0.0,1
3232261223,595306670,35310,8080,tcp,2.998555,3.0,0.0,1
3232261223,428662037,35876,9527,tcp,2.998815,3.0,0.0,1
3232261223,3673792348,36994,9527,tcp,0.45651,1.0,0.0,1
3232261223,2111513711,60798,23,tcp,2.998815,3.0,0.0,1
3232261223,3443729832,43780,2323,tcp,2.998556,3.0,0.0,1
3232261223,2861206295,49397,23,tcp,2.998805,3.0,0.0,1
3232261223,1722317586,44000,23,tcp,2.998557,3.0,0.0,1
3232261223,1745869167,36589,8080,tcp,2.998557,3.0,0.0,1
3232261223,2961433079,49839,23,tcp,2.998559,3.0,0.0,1
3232261223,1534002462,38855,23,tcp,2.998565,3.0,0.0,1
3232261223,3040585102,56410,2478,tcp,2.999309,3.0,0.0,1
3232261223,2617483292,34192,2323,tcp,2.998817,3.0,0.0,1
3232261223,1466945038,49034,23,tcp,2.998808,3.0,0.0,1
3232261223,1326676455,35151,2323,tcp,2.999057,3.0,0.0,1
3232261223,3551076309,37151,23,tcp,2.999315,3.0,0.0,1
3232261223,2335782639,34270,23,tcp,2.999057,3.0,0.0,1
3551143458,3232261223,3,1,icmp,4e-06,2.0,120.0,1
3232261223,2481415173,123,123,udp,0.001239,1.0,48.0,1
3232261223,644328430,43202,8080,tcp,2.999065,3.0,0.0,1
3232261223,333000445,34417,8080,tcp,2.998806,3.0,0.0,1
3232261223,800734988,42451,23,tcp,2.998812,3.0,0.0,1
3232261223,797712928,36460,8080,tcp,2.998809,3.0,0.0,1
3232261223,2679620505,40166,8080,tcp,2.998315,3.0,0.0,1
3232261223,1868333110,42830,8080,tcp,2.99906,3.0,0.0,1
3232261223,1037532708,49192,23,tcp,2.998556,3.0,0.0,1
3232261223,1478086801,44147,8080,tcp,2.998817,3.0,0.0,1
3232261223,3288629795,53599,2323,tcp,2.998808,3.0,0.0,1
3232261223,3496093258,50039,2323,tcp,2.999058,3.0,0.0,1
3232261223,1403857157,40983,56742,tcp,2.998808,3.0,0.0,1
3232261223,3429088867,47863,8080,tcp,2.998817,3.0,0.0,1
3232261223,1929176509,56024,23,tcp,2.999058,3.0,0.0,1
3232261223,601336498,39423,23,tcp,2.998819,3.0,0.0,1
3232261223,3346583515,46566,8080,tcp,2.998811,3.0,0.0,1
3232261223,2155533559,44995,23,tcp,2.999056,3.0,0.0,1
3232261223,3589249548,123,123,udp,0.014733,1.0,48.0,1
3232261223,1299468624,38459,23,tcp,2.999298,3.0,0.0,1
3232261223,574781930,52584,23,tcp,2.999319,3.0,0.0,1
3232261223,1028961917,54094,9527,tcp,0.304093,1.0,0.0,1
3232261223,2643525370,60399,23,tcp,2.998811,3.0,0.0,1
3232261223,3012038393,44197,27816,tcp,2.999077,3.0,0.0,1
3232261223,301114175,54464,2323,tcp,2.99881,3.0,0.0,1
3232261223,3409970092,42499,9527,tcp,2.998815,3.0,0.0,1
3232261223,1885230428,40296,2323,tcp,2.998811,3.0,0.0,1
3232261223,1132158779,46158,23,tcp,2.99856,3.0,0.0,1
3232261223,1773244641,60633,23,tcp,2.99906,3.0,0.0,1
3232261223,2603498441,34062,8080,tcp,2.998561,3.0,0.0,1
3232261223,3510882886,45599,9527,tcp,2.998812,3.0,0.0,1
3232261223,572911619,36497,8080,tcp,2.99856,3.0,0.0,1
3232261223,3687581240,42505,23,tcp,2.998807,3.0,0.0,1
3232261223,291020474,40119,23,tcp,2.999057,3.0,0.0,1
3232261223,2732435561,38497,8080,tcp,2.998812,3.0,0.0,1
3232261223,202166679,35040,8080,tcp,2.998808,3.0,0.0,1
3232261223,251059167,50843,23,tcp,2.999056,3.0,0.0,1
3232261223,1848578492,59428,52448,tcp,2.999056,3.0,0.0,1
3232261223,1557552928,34145,2323,tcp,2.999307,3.0,0.0,1
3232261223,2481415173,123,123,udp,0.001481,1.0,48.0,1
