c0,c1,c2,c3
177,379,0,16
180,358,0,14
165,366,0,15
192,293,0,16
206,415,0,17
141,171,0,14
215,424,0,16
171,338,0,13
213,414,0,12
81,233,0,10
165,376,0,13
180,203,0,12
211,423,0,16
192,425,0,17
196,394,0,15
202,453,0,14
230,540,0,16
65,232,0,9
218,497,0,15
210,393,0,11
219,501,0,13
185,378,0,15
174,434,0,17
193,556,0,17
229,562,0,12
199,414,0,11
214,422,0,10
234,614,0,10
210,576,0,14
223,664,0,11
198,335,0,11
226,675,0,17
209,707,0,15
69,287,0,6
194,559,0,9
159,454,0,9
214,661,0,14
189,622,0,14
224,735,0,13
229,969,0,16
220,822,0,18
176,615,0,11
220,880,0,16
251,1009,0,16
253,835,0,19
215,734,0,16
257,1022,0,18
260,1078,0,15
169,469,0,11
227,833,0,15
233,937,0,13
98,429,0,5
232,780,0,18
233,1035,0,17
244,1032,0,15
238,1101,0,18
204,970,0,17
199,798,0,11
230,1040,0,13
214,855,0,15
184,725,0,8
261,1224,0,18
249,1128,0,18
233,956,0,15
266,1433,0,18
165,598,0,14
190,1039,0,15
205,1053,0,12
226,1034,0,17
267,1540,0,18
251,1547,0,18
255,1425,0,16
217,1267,0,18
180,1058,0,15
246,1451,0,18
248,1581,0,19
208,1218,0,18
250,1682,0,22
170,1138,0,16
191,1283,0,17
228,1784,0,19
150,800,0,14
232,1582,0,21
221,1594,0,18
231,1693,0,20
229,1672,0,20
217,1545,0,20
237,1765,0,18
94,699,0,9
216,1606,0,20
170,1402,0,16
183,1448,0,16
211,1644,0,18
78,807,0,8
200,1463,0,19
211,1480,0,17
250,2012,0,18
245,1743,0,17
235,1734,0,21
242,1797,0,17
249,1891,0,18
244,1992,0,21
267,2276,0,25
204,1772,0,22
246,1821,0,22
220,1780,0,23
265,2236,0,23
244,1721,0,18
266,2318,0,19
214,1594,0,15
268,2143,0,22
231,1872,0,16
270,2350,0,22
237,2012,0,18
255,2239,0,20
257,2020,0,15
256,2126,0,16
269,2337,0,20
217,1804,0,22
266,2271,0,20
269,2388,0,22
213,1958,0,21
252,2390,0,23
116,1105,0,14
229,1821,0,20
193,1622,0,16
254,2050,0,19
252,1757,0,18
247,2213,0,18
249,2221,0,16
149,1036,0,11
233,2382,0,19
264,2459,0,21
219,1722,0,15
242,2077,0,21
228,1773,0,21
250,2159,0,22
220,1727,0,15
250,2381,0,20
165,1234,0,9
254,2387,0,15
197,1607,0,13
210,1934,0,18
223,1288,0,14
263,2379,0,19
50,696,0,10
276,2902,0,20
277,2756,0,22
222,2239,0,20
237,2412,0,21
89,918,0,3
233,2589,0,17
255,2757,0,17
119,835,0,4
178,2106,0,14
226,2675,0,17
49,1007,0,6
242,2953,0,17
237,2749,0,18
198,2493,0,18
241,2856,0,16
226,2897,0,18
228,2870,0,18
239,2960,0,17
182,2061,0,11
235,2993,0,18
204,2580,0,17
114,495,0,10
216,2436,0,14
247,2630,0,13
195,2347,0,12
254,3158,0,17
189,1946,0,14
207,2492,0,16
216,3146,0,17
165,1533,0,11
225,2593,0,14
211,2573,0,12
197,2626,0,12
215,2824,0,15
128,140,0,15
130,153,0,17
128,148,0,16
130,154,0,15
99,107,0,13
132,151,0,16
140,154,0,13
141,154,0,15
118,135,0,13
145,162,0,16
141,164,0,15
135,155,0,14
144,154,0,15
140,166,0,17
139,164,0,16
136,171,0,16
137,174,0,14
143,180,0,15
136,187,0,15
105,154,0,14
128,179,0,16
140,176,0,16
143,172,0,13
154,182,0,13
151,177,0,14
156,173,0,13
116,132,0,10
157,184,0,14
157,178,0,15
159,180,0,15
155,188,0,12
153,192,0,16
149,196,0,14
149,198,0,15
152,199,0,15
137,170,0,13
173,184,0,16
173,178,0,16
135,143,0,11
179,185,0,18
154,176,0,15
181,186,0,17
167,183,0,18
167,183,0,19
176,197,0,18
164,193,0,16
193,203,0,19
181,182,0,18
195,190,0,17
190,182,0,16
151,143,0,14
199,184,0,16
206,188,0,16
145,130,0,13
218,191,0,18
223,197,0,18
222,188,0,18
234,187,0,18
247,192,0,18
118,65,0,8
236,186,0,17
208,169,0,18
223,175,0,20
213,179,0,19
226,186,0,21
233,187,0,21
230,181,0,20
235,191,1,19
243,194,1,18
251,197,0,19
229,183,0,17
248,189,0,18
255,188,0,18
190,130,0,13
257,193,0,19
216,168,0,15
251,195,0,21
227,167,0,19
273,195,0,20
278,189,0,22
280,202,0,24
292,182,0,24
249,167,0,19
294,190,1,20
275,180,0,21
289,187,0,22
293,195,0,23
218,145,0,20
295,196,0,25
269,172,0,26
306,183,0,28
306,169,0,28
333,170,0,27
345,172,0,27
243,91,0,19
343,160,0,24
263,103,0,17
368,142,0,27
321,98,0,18
382,133,1,26
310,84,1,20
389,129,0,27
307,80,0,21
387,123,0,25
295,68,0,13
386,116,0,29
339,90,0,23
394,119,0,30
334,96,0,25
414,121,0,30
346,94,0,21
398,125,0,37
325,92,0,25
333,163,0,34
377,187,0,45
232,99,0,18
370,193,1,37
395,208,0,45
367,185,0,31
408,196,0,42
347,129,0,34
408,173,0,51
418,157,0,50
406,142,0,51
407,150,0,48
396,141,0,45
421,148,0,43
418,141,0,44
431,138,0,50
379,129,0,45
410,151,0,53
370,114,0,46
417,150,2,49
351,112,2,34
389,182,2,46
404,181,1,43
369,164,2,43
390,192,2,52
348,161,1,33
392,185,1,47
282,118,1,30
394,162,0,58
407,162,3,65
401,144,2,60
418,151,1,57
388,125,0,53
417,138,1,55
382,117,0,45
410,136,2,57
358,99,1,38
400,142,1,55
296,87,1,28
396,157,4,46
400,187,5,60
349,173,4,52
362,195,4,54
310,158,4,38
366,207,4,62
309,157,3,44
379,196,4,63
307,126,0,37
400,180,5,68
417,171,2,64
398,158,3,61
411,167,2,67
380,151,2,53
396,155,2,62
370,137,2,58
401,160,2,69
328,112,1,52
400,152,2,67
313,109,2,48
383,151,2,72
306,108,2,41
415,154,1,68
406,184,0,71
349,183,2,63
362,190,2,61
311,165,2,46
346,210,5,60
1367,1080,14,206
4043,2619,10,788
5397,2630,26,1079
3170,1372,6,529
5656,1908,15,1055
2813,1121,5,445
6063,1980,25,1166
5670,1736,20,1034
3048,1028,9,451
6250,1823,19,1123
5575,1703,19,958
5179,1594,17,931
5573,1838,18,1013
4717,2235,17,907
4420,2549,28,933
4084,2469,25,903
3960,2370,21,826
2895,1670,4,554
4700,2416,34,941
3833,1712,10,699
5227,1926,18,1021
3811,1421,10,702
5471,1859,17,1083
4668,1524,13,878
833,267,0,184
4998,1661,13,938
5609,1896,16,1093
4375,1438,14,813
1581,665,0,239
5167,1771,16,1056
2819,1287,6,576
1466,968,5,252
1384,1209,8,223
3551,2172,15,752
4739,2649,16,989
1993,1537,6,476
4295,2336,15,775
5049,2464,18,972
5086,2136,18,957
5670,2042,25,1052
4048,1392,7,788
5555,1897,24,1069
3901,1372,6,680
5509,1860,21,1079
3967,1387,5,672
5519,1841,10,1037
3157,1322,3,567
5038,2145,24,1018
4973,2208,34,1032
4545,2332,44,961
2940,2283,58,684
1723,1193,80,491
1874,1006,159,491
2148,971,291,518
2187,912,469,546
2593,1047,826,690
2517,959,935,687
415,133,184,70
2103,704,919,634
1984,630,947,514
2102,669,1192,557
2188,713,1315,639
1081,395,581,307
2052,589,1349,506
1398,371,766,316
2168,549,1587,600
2024,540,1598,578
2600,604,3415,594
1448,347,1355,337
1565,365,1190,278
1270,296,947,277
1457,335,1216,312
1624,358,1461,406
1827,410,1738,439
1976,417,1947,509
535,158,590,131
1732,336,1716,413
1936,393,2009,546
1722,349,1710,389
1928,383,2120,543
1558,294,1678,365
1766,344,2082,497
1659,328,1739,336
1376,272,1500,312
998,212,1029,208
731,220,763,194
411,108,489,107
1731,327,2239,475
1707,319,2198,437
1661,283,2110,410
1582,285,2145,374
1504,271,2016,321
1481,256,1966,338
1475,261,1959,283
1375,230,1916,291
1398,249,1983,296
1399,238,1928,344
1434,231,1976,360
1509,242,2210,383
1557,246,2442,422
1658,265,2472,407
863,161,1130,200
1250,199,1781,268
1390,205,2193,307
1507,223,2451,358
1584,242,2559,374
729,171,1529,158
1098,200,1775,231
1259,226,2300,297
1415,257,2580,334
974,188,1664,217
1323,206,2502,321
642,134,880,137
1201,181,2267,258
1306,211,2544,302
1408,230,2749,338
1024,160,1916,246
1280,197,2572,314
259,55,607,68
1101,192,2253,262
1280,220,2756,312
795,163,1609,200
1241,204,2526,287
146,40,455,13
1081,179,2347,271
1315,221,2867,319
1032,187,2327,234
1277,223,2894,304
1091,185,2534,223
366,63,836,78
1145,179,2620,235
323,41,830,77
1034,189,3714,240
1099,183,2705,236
404,86,899,99
1111,173,2749,226
683,128,1748,152
1092,183,2866,234
795,164,2116,181
1128,196,2946,256
917,166,2457,195
1164,193,3002,245
1028,167,2597,217
179,7,566,32
1004,173,2723,230
564,123,1494,140
1038,176,2866,220
815,138,2352,157
1087,190,2912,243
953,171,2649,190
651,148,1683,133
1035,179,2910,222
920,163,2670,195
703,138,2005,156
1075,179,2979,216
946,153,2671,188
788,153,2198,167
1056,188,2958,229
982,182,2796,213
827,161,2392,204
512,105,1385,105
1011,156,2884,204
916,151,2773,176
841,150,2467,158
656,124,1812,129
809,211,1241,188
1036,195,940,239
634,124,476,149
1083,188,721,243
927,159,596,200
649,132,372,146
1134,178,643,229
1093,176,601,229
1035,172,535,207
1017,161,503,183
978,153,464,190
900,151,433,190
833,146,418,163
670,122,293,129
131,10,50,40
1088,186,249,189
510,134,77,100
813,148,151,139
998,159,191,157
1061,162,207,170
1108,179,219,181
1111,197,232,178
1143,201,229,177
1142,197,222,190
671,133,75,126
830,145,158,152
958,148,176,153
1017,156,202,166
1106,168,202,151
1139,169,204,152
1161,173,210,157
1158,160,203,183
451,89,25,86
804,114,116,135
879,132,131,150
956,126,154,164
1011,132,165,172
1076,145,176,178
1106,150,179,177
1090,161,184,200
1108,174,183,184
1106,184,191,187
727,133,112,152
860,139,141,159
970,157,146,171
1016,164,156,172
1066,164,161,176
1095,167,166,185
1131,171,165,175
361,28,17,64
815,134,108,144
953,147,136,159
1025,149,149,188
1041,159,163,195
1076,153,163,191
1092,142,159,209
664,100,74,133
867,123,121,154
1009,144,140,166
1077,148,137,185
1126,164,141,183
1125,168,146,180
1131,153,151,176
705,117,67,126
877,122,119,138
978,141,131,136
1060,160,140,149
1102,161,107,167
1130,163,14,178
1116,170,9,174
746,129,3,127
930,147,4,157
1041,155,5,185
1088,157,5,185
1111,164,6,182
294,16,0,65
836,132,2,154
968,143,4,161
1078,145,6,170
1105,145,9,178
1107,152,6,182
722,115,1,118
926,144,4,153
1037,152,8,170
1085,163,7,176
1100,165,8,170
703,121,1,131
937,134,5,154
1046,141,7,185
1110,160,7,177
1132,170,7,174
419,29,2,79
838,148,3,146
946,166,4,154
1077,184,6,162
1095,176,6,180
1112,168,8,196
1117,160,8,183
814,114,2,143
982,129,3,156
1054,141,4,171
1081,151,6,171
1089,153,5,174
735,108,3,131
923,125,3,166
1044,133,5,170
1081,139,5,170
1083,141,6,166
646,109,2,113
903,124,3,159
1029,145,3,176
1103,150,3,179
1113,157,2,186
555,114,0,108
925,139,1,156
1058,156,3,173
1102,166,2,187
1148,168,3,190
1140,161,5,182
692,129,2,137
925,141,1,158
1068,159,1,163
1097,158,5,164
1124,161,4,163
682,121,0,118
949,128,3,161
1063,131,2,181
1095,139,2,180
1281,153,2,189
450,65,0,78
865,133,2,136
1015,141,2,160
1083,139,2,176
1121,138,1,186
1129,145,1,172
839,119,1,131
1005,121,1,161
1083,138,1,166
1101,147,1,180
352,23,0,81
841,118,1,142
990,139,1,166
1069,145,0,167
1089,155,0,171
1096,146,1,175
829,116,1,146
1000,136,1,157
1072,146,1,166
1091,146,1,173
216,33,1,87
852,118,1,144
993,150,1,151
1064,149,1,156
1101,153,1,175
170,30,1,63
812,114,1,142
959,118,1,149
1058,135,1,149
1090,141,1,138
628,100,1,91
944,134,1,134
1051,140,0,154
1084,145,0,159
173,18,0,85
888,122,0,157
1000,138,0,171
1068,147,0,176
1075,154,0,170
756,120,0,134
956,135,0,146
1038,138,0,154
1059,143,0,160
474,90,0,95
891,121,0,140
1034,139,0,151
1089,145,0,151
1079,148,0,153
834,116,0,141
985,138,0,142
1045,149,0,147
1058,155,0,148
771,119,0,131
985,138,0,152
1029,142,0,158
1030,139,0,161
728,106,0,123
951,130,0,152
1014,134,0,157
1028,142,0,157
730,115,0,134
955,123,0,145
1007,140,0,146
1002,142,0,150
843,118,0,138
972,122,0,159
905,135,3,169
584,98,1,122
776,136,3,160
723,148,4,162
548,135,2,139
700,152,4,167
763,147,3,172
708,118,4,167
805,137,4,168
859,131,4,167
771,117,4,159
850,135,4,164
882,138,4,157
752,110,4,133
878,131,3,162
880,131,3,166
677,104,3,139
820,134,3,147
863,143,3,166
541,104,2,120
779,137,3,150
814,144,3,162
458,90,2,114
767,130,3,152
818,146,3,158
55,7,1,33
739,140,2,151
820,151,2,165
831,150,2,174
707,137,2,161
823,150,2,182
837,152,2,186
690,129,1,153
804,142,2,165
835,149,2,166
624,126,2,138
802,129,1,158
842,133,1,170
578,99,2,133
814,115,2,169
828,118,2,166
580,85,0,128
803,128,2,156
832,142,2,167
587,107,1,126
790,137,2,161
821,136,2,180
222,41,1,57
733,121,1,160
808,134,2,175
803,132,2,180
724,125,2,160
806,127,2,178
248,39,0,82
758,119,1,166
822,141,3,185
830,138,2,181
705,115,0,150
814,131,1,167
842,137,1,175
717,111,1,156
827,128,1,173
834,131,0,184
647,114,2,156
802,124,2,177
827,137,2,177
680,106,2,156
792,137,2,183
834,133,3,179
669,115,3,152
795,123,3,163
819,129,3,183
