c0,c1,c2,c3,c4
69.0,55.0,106.0,92.0,95.0
60.0,56.0,92.0,74.0,59.0
61.0,57.0,80.0,42.0,38.0
64.0,56.0,97.0,41.0,36.0
60.0,57.0,91.0,56.0,36.0
58.0,58.0,77.0,24.0,31.0
60.0,56.0,87.0,29.0,34.0
61.0,61.0,111.0,34.0,28.0
78.0,71.0,125.0,35.0,51.0
187.0,87.0,147.0,50.0,74.0
113.0,108.0,188.0,74.0,108.0
149.0,147.0,271.0,167.0,168.0
186.0,198.0,314.0,255.0,265.0
271.0,448.0,439.0,518.0,478.0
383.0,597.0,584.0,556.0,613.0
453.0,662.0,654.0,719.0,623.0
457.0,687.0,664.0,678.0,699.0
493.0,644.0,471.0,604.0,552.0
517.0,542.0,519.0,522.0,477.0
226.0,541.0,291.0,552.0,531.0
175.0,148.0,324.0,468.0,469.0
185.0,156.0,270.0,375.0,472.0
174.0,153.0,251.0,421.0,462.0
176.0,148.0,360.0,407.0,450.0
183.0,143.0,323.0,424.0,469.0
180.0,141.0,357.0,354.0,509.0
166.0,146.0,330.0,377.0,423.0
180.0,144.0,363.0,454.0,471.0
224.0,152.0,352.0,419.0,474.0
427.0,152.0,394.0,517.0,429.0
479.0,146.0,390.0,482.0,518.0
363.0,157.0,395.0,991.0,596.0
425.0,148.0,372.0,1146.0,569.0
452.0,139.0,345.0,1081.0,598.0
368.0,155.0,464.0,1143.0,625.0
368.0,152.0,397.0,367.0,671.0
319.0,143.0,354.0,449.0,530.0
375.0,134.0,261.0,1035.0,529.0
158.0,120.0,241.0,570.0,488.0
152.0,103.0,254.0,361.0,483.0
148.0,101.0,191.0,335.0,438.0
127.0,93.0,174.0,296.0,369.0
125.0,91.0,196.0,303.0,330.0
123.0,87.0,199.0,328.0,324.0
106.0,77.0,187.0,317.0,284.0
102.0,73.0,165.0,185.0,241.0
87.0,67.0,157.0,49.0,176.0
81.0,59.0,118.0,49.0,126.0
80.0,56.0,109.0,206.0,98.0
60.0,55.0,102.0,172.0,61.0
60.0,55.0,94.0,152.0,44.0
60.0,56.0,74.0,146.0,41.0
79.0,55.0,121.0,157.0,40.0
60.0,54.0,95.0,121.0,29.0
60.0,55.0,121.0,122.0,34.0
60.0,61.0,142.0,149.0,41.0
272.0,67.0,122.0,132.0,45.0
82.0,82.0,205.0,143.0,82.0
115.0,105.0,196.0,169.0,95.0
151.0,151.0,195.0,235.0,210.0
174.0,201.0,196.0,274.0,232.0
296.0,446.0,471.0,480.0,454.0
283.0,617.0,638.0,614.0,687.0
278.0,677.0,715.0,865.0,722.0
411.0,700.0,633.0,916.0,682.0
497.0,629.0,703.0,700.0,614.0
273.0,481.0,490.0,701.0,590.0
196.0,158.0,267.0,642.0,507.0
175.0,156.0,242.0,507.0,508.0
180.0,160.0,298.0,557.0,451.0
175.0,150.0,379.0,505.0,467.0
224.0,157.0,340.0,594.0,473.0
181.0,143.0,339.0,547.0,503.0
213.0,147.0,335.0,600.0,460.0
180.0,144.0,349.0,578.0,514.0
178.0,142.0,402.0,622.0,508.0
217.0,141.0,439.0,714.0,508.0
473.0,137.0,482.0,679.0,522.0
428.0,152.0,413.0,837.0,560.0
415.0,154.0,513.0,1055.0,527.0
405.0,142.0,687.0,1046.0,560.0
397.0,152.0,477.0,1023.0,552.0
403.0,155.0,422.0,1052.0,599.0
382.0,153.0,426.0,677.0,665.0
371.0,137.0,394.0,861.0,634.0
286.0,130.0,342.0,967.0,590.0
164.0,113.0,218.0,614.0,499.0
152.0,106.0,354.0,536.0,448.0
137.0,101.0,214.0,550.0,391.0
141.0,101.0,199.0,492.0,395.0
135.0,92.0,203.0,570.0,326.0
140.0,88.0,192.0,522.0,347.0
109.0,83.0,185.0,446.0,286.0
106.0,70.0,139.0,396.0,260.0
113.0,72.0,142.0,305.0,173.0
107.0,61.0,87.0,301.0,133.0
170.0,60.0,105.0,141.0,105.0
162.0,60.0,109.0,119.0,83.0
161.0,59.0,103.0,80.0,63.0
160.0,53.0,104.0,48.0,42.0
156.0,56.0,109.0,44.0,35.0
155.0,57.0,88.0,45.0,50.0
154.0,56.0,108.0,31.0,42.0
164.0,67.0,108.0,54.0,44.0
180.0,68.0,151.0,47.0,44.0
197.0,85.0,181.0,71.0,75.0
214.0,109.0,262.0,92.0,95.0
256.0,153.0,309.0,184.0,169.0
322.0,205.0,341.0,305.0,244.0
493.0,448.0,342.0,500.0,461.0
586.0,598.0,316.0,442.0,511.0
668.0,665.0,318.0,1031.0,672.0
649.0,684.0,335.0,997.0,696.0
700.0,272.0,291.0,551.0,533.0
561.0,132.0,220.0,737.0,565.0
329.0,819.0,207.0,576.0,631.0
310.0,165.0,364.0,452.0,601.0
319.0,163.0,362.0,376.0,592.0
309.0,155.0,370.0,434.0,526.0
313.0,157.0,361.0,392.0,431.0
316.0,156.0,355.0,415.0,367.0
638.0,157.0,394.0,364.0,480.0
324.0,149.0,355.0,391.0,536.0
