c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
17.0,26.0,111.0,246.0,224.0,67.0,82.0,51.0,77.0,31.0
17.0,26.0,126.0,323.0,231.0,63.0,78.0,54.0,91.0,28.0
20.0,26.0,106.0,315.0,196.0,62.0,76.0,52.0,68.0,29.0
21.0,0.0,118.0,407.0,160.0,80.0,101.0,50.0,73.0,22.0
19.0,29.0,120.0,274.0,179.0,66.0,82.0,49.0,61.0,33.0
19.0,25.0,87.0,280.0,165.0,63.0,76.0,44.0,61.0,20.0
18.0,21.0,83.0,263.0,162.0,61.0,76.0,46.0,69.0,16.0
14.0,21.0,89.0,203.0,175.0,59.0,73.0,41.0,58.0,18.0
14.0,25.0,73.0,213.0,160.0,53.0,69.0,39.0,54.0,16.0
16.0,22.0,79.0,204.0,164.0,65.0,81.0,44.0,50.0,19.0
14.0,23.0,85.0,206.0,152.0,57.0,77.0,37.0,51.0,16.0
16.0,22.0,75.0,217.0,169.0,56.0,73.0,48.0,68.0,17.0
16.0,21.0,70.0,0.0,148.0,57.0,71.0,44.0,59.0,17.0
15.0,19.0,68.0,0.0,147.0,52.0,67.0,35.0,48.0,16.0
15.0,19.0,70.0,192.0,148.0,55.0,66.0,36.0,45.0,15.0
15.0,20.0,67.0,174.0,129.0,63.0,77.0,39.0,44.0,14.0
12.0,18.0,75.0,167.0,153.0,50.0,65.0,36.0,43.0,15.0
13.0,19.0,0.0,0.0,0.0,52.0,63.0,38.0,47.0,14.0
12.0,19.0,83.0,182.0,146.0,67.0,76.0,35.0,44.0,13.0
11.0,16.0,101.0,170.0,139.0,51.0,63.0,32.0,40.0,14.0
12.0,20.0,73.0,184.0,124.0,53.0,62.0,37.0,40.0,13.0
12.0,0.0,61.0,158.0,128.0,51.0,63.0,31.0,38.0,13.0
11.0,18.0,68.0,155.0,148.0,48.0,60.0,29.0,35.0,14.0
12.0,18.0,66.0,172.0,127.0,45.0,55.0,33.0,41.0,14.0
13.0,17.0,61.0,0.0,139.0,54.0,64.0,32.0,37.0,13.0
12.0,17.0,66.0,165.0,163.0,46.0,57.0,31.0,32.0,14.0
12.0,0.0,74.0,185.0,179.0,46.0,55.0,32.0,38.0,15.0
12.0,19.0,54.0,140.0,153.0,52.0,62.0,29.0,35.0,14.0
11.0,19.0,60.0,164.0,132.0,42.0,51.0,32.0,33.0,14.0
10.0,17.0,55.0,0.0,0.0,48.0,54.0,30.0,32.0,14.0
13.0,18.0,54.0,0.0,124.0,52.0,63.0,30.0,35.0,12.0
0.0,16.0,58.0,161.0,149.0,41.0,49.0,27.0,31.0,13.0
11.0,17.0,58.0,168.0,0.0,43.0,50.0,28.0,35.0,14.0
12.0,16.0,57.0,0.0,154.0,50.0,62.0,28.0,32.0,0.0
12.0,17.0,0.0,218.0,142.0,39.0,47.0,27.0,36.0,0.0
0.0,16.0,59.0,0.0,120.0,43.0,0.0,27.0,33.0,13.0
13.0,18.0,0.0,0.0,126.0,47.0,58.0,0.0,33.0,12.0
