c0,c1,c2,c3
-0.814948,-4.673806,1.1878941,-4.226125
-0.76356256,-2.918087,1.4591837,-3.0316658
5.7653966,-4.0953813,7.6733294,-2.2724876
9.431916,-7.4899874,7.0741115,-8.509998
7.62419,-5.8204126,4.4995213,-11.264013
6.402797,-3.5950058,5.750809,-11.261085
11.341081,-3.3097994,7.3727846,-11.782086
11.806584,-1.8701327,5.056783,-14.27971
9.713459,0.77335715,10.051145,-12.915919
18.123514,-5.536275,14.424138,-16.371721
19.644781,-5.0297303,14.338531,-15.0075
22.513079,-3.7601392,8.835095,-14.17017
14.416988,5.8129454,7.8355145,-11.949775
14.725719,2.0328884,13.329282,-15.653095
21.579742,-3.7291503,17.38747,-15.877544
23.475628,-3.1017027,15.183459,-13.236375
23.151474,-2.2753737,13.329581,-13.733405
23.194294,-0.15427357,13.979577,-12.040849
17.433601,3.292982,14.023348,-13.681375
17.748991,0.85736275,14.164093,-16.060684
17.086529,-0.48550695,15.019459,-13.974069
18.659231,-0.67873305,10.96545,-15.627109
17.137836,2.851022,11.395805,-13.494207
17.214037,2.086931,13.63802,-15.332014
17.859413,1.0604347,12.055684,-16.923723
15.556844,1.7867457,12.922399,-15.652361
14.587216,0.5805976,12.722434,-16.204391
15.338468,-1.8896896,15.329942,-15.113247
16.982414,-3.93329,13.740957,-16.17369
15.915917,-1.4083551,10.970751,-14.943804
13.135651,1.6482549,10.184254,-14.0631485
15.384936,-0.14288716,12.838441,-16.121038
15.167263,1.4779726,10.651903,-15.218303
12.056263,3.1736188,9.957796,-15.549529
13.861245,-1.0073425,13.975964,-15.128917
19.332739,-4.319636,15.589912,-16.413832
19.894104,-2.1989684,13.659041,-13.326216
15.842351,1.1990466,11.335838,-13.330307
15.747452,-0.7713559,12.681337,-16.217392
15.090879,1.4605039,10.220608,-14.969717
12.880391,2.1689823,10.438696,-16.04806
15.593046,-0.80918205,14.6264,-15.692039
18.186388,-1.5449146,11.697684,-16.557665
13.786979,2.0040047,11.338213,-13.948901
16.229898,-1.4171199,12.915962,-17.694813
16.044853,-1.0984006,14.044904,-14.698555
15.699496,-0.8282648,10.566508,-15.693068
13.527913,1.4967334,11.6214905,-13.812549
14.96877,-0.71877843,12.850019,-16.167946
14.948876,0.09786204,10.185968,-15.863708
17.564425,2.0727608,11.720503,-13.31344
15.282699,1.710705,15.41136,-13.899307
15.143413,-1.0072448,12.055827,-15.440998
13.486213,-1.2440943,12.758486,-14.33942
15.186758,-3.3032157,15.191424,-14.365751
14.056947,-4.374345,12.853281,-14.967553
16.458397,-3.6922705,11.332648,-14.351138
13.543516,-1.4286556,12.575039,-13.854781
16.71249,-3.9664242,15.228077,-13.92886
17.113733,-2.389544,10.243136,-13.868897
14.907843,0.037492596,11.29208,-12.943752
15.968892,-0.3973433,11.9048815,-14.969507
17.622543,-0.339326,14.420083,-13.449726
18.168278,-0.93529063,12.793418,-15.193945
18.966347,0.91348606,11.155004,-13.391553
17.221935,3.6945302,12.245788,-12.427109
15.6791315,2.006498,13.950672,-14.419986
16.696945,0.87163144,9.485879,-16.369184
14.011129,3.4134688,10.541046,-14.31433
12.6382265,2.2486005,10.015507,-15.927977
14.103356,1.1887423,10.97697,-15.556163
13.653681,-0.3937989,12.972465,-15.109059
19.45028,-1.8160646,14.07575,-13.324913
18.102425,-1.5965302,11.5934515,-15.181677
20.20975,1.5954522,12.034353,-11.589816
15.6965475,3.8824017,10.251019,-14.2026005
12.471687,3.2863324,9.454484,-15.915141
17.35489,-0.4255343,14.661504,-15.284345
17.879648,-0.3172978,10.569567,-16.225039
14.980556,0.9576956,13.180368,-14.007803
19.569057,-1.3802918,14.175252,-14.915655
17.631382,0.3807816,12.695114,-13.265701
19.781586,0.63889104,13.349549,-12.652816
18.502525,-0.19979323,14.794009,-14.076459
16.704092,0.95512295,11.17845,-14.978587
16.637806,0.7668522,12.901515,-13.531592
15.756932,0.28390175,14.45619,-13.81624
16.381535,-2.4783242,11.987902,-16.353233
15.219613,0.16679214,11.526161,-12.574772
18.001234,-0.36960426,11.930485,-14.0173435
15.235767,3.3357458,8.905757,-13.448505
13.570163,2.6230583,10.7803,-15.484759
17.609499,-0.30690154,15.573296,-14.189063
18.054592,-1.3420576,10.898606,-16.408289
16.380371,2.241362,11.061716,-12.768383
14.345221,1.5817962,11.29457,-15.771622
16.61399,0.29894713,13.207642,-13.882196
15.552727,-0.66539514,11.017421,-16.39012
16.300455,-0.72796494,12.725159,-14.580776
16.221613,-1.0894126,11.24791,-16.381367
4.405407,-4.3245764,5.94532,-5.637994
5.1060233,-6.5984077,3.787621,-11.067149
11.220579,-3.3625426,3.2014735,-10.522376
13.40922,-3.58857,6.7486,-11.710752
18.033564,-4.9410896,5.2742,-14.051438
17.14352,-1.5119697,2.5028925,-13.337764
13.607042,4.2490506,4.116291,-13.541982
16.959522,1.5858864,9.229097,-15.054507
22.576962,-0.6890553,12.9675865,-13.111334
21.313158,-1.875804,12.555085,-15.589316
17.73164,0.30430123,10.643713,-16.04569
22.125214,-2.5434341,16.177835,-15.013909
20.053696,-0.4412074,10.900439,-16.507933
18.510052,0.09649158,12.638552,-16.02989
20.434368,-0.7700203,13.914331,-16.730959
18.762043,0.101916395,14.771205,-15.297239
21.054459,-2.3999026,15.793899,-15.746472
18.966629,0.32646704,11.834037,-15.0194845
15.034776,2.052128,11.166926,-15.854331
14.654562,0.87556326,12.892701,-16.833008
17.761606,-1.5671841,15.88083,-16.065105
17.247105,-1.781232,11.790883,-15.141989
13.597581,1.8858833,9.464184,-13.772602
12.823123,-0.22866476,13.761568,-14.310106
13.589534,-2.570257,12.859372,-15.36247
18.420652,-3.968333,15.2284155,-14.865396
21.74932,-4.7725677,16.7713,-13.730869
19.425034,-0.79518056,11.723213,-12.715555
17.123205,2.4876482,9.201524,-13.684224
13.5782385,4.5067244,12.453613,-13.415881
13.740085,1.9708433,11.163846,-15.014314
14.418329,0.19976325,13.949284,-14.045512
13.735524,0.79536647,7.896877,-16.073662
14.513009,3.6344001,9.3814125,-13.328793
14.010277,2.6088736,14.080697,-14.286295
17.950905,-2.315148,15.824352,-15.245517
16.739243,-1.0229595,10.046895,-15.414915
17.627548,1.9092499,10.454577,-12.924848
16.759119,2.9279006,13.065786,-13.474355
14.152047,2.5882459,11.755974,-15.323324
17.865545,-1.7979414,15.837353,-14.439357
17.280348,-1.341214,11.764926,-14.286218
13.747748,-0.08893785,11.486423,-14.780623
13.129687,0.32670692,9.401758,-15.534067
12.433593,1.5510198,9.37823,-15.626017
14.089097,-1.7620488,13.471353,-15.586814
13.62743,-1.9854916,10.666598,-16.06889
16.30576,-4.036733,14.408878,-15.421958
17.817913,-4.0586023,12.977719,-15.167757
14.717098,-1.0305479,9.736743,-15.024483
14.72237,0.27900243,10.88817,-14.879452
12.511288,0.72385806,11.510421,-15.402014
16.152828,-0.42496642,10.868697,-15.779601
15.816748,2.3329184,9.348137,-14.594149
14.145464,1.1704404,12.0355835,-16.142948
16.295979,-1.9153376,13.67195,-16.642265
17.954546,-0.5631301,11.771939,-14.613116
14.641395,1.8318242,10.378693,-14.706678
14.94383,2.5171654,9.479546,-16.028925
14.678668,-0.06367532,15.391068,-14.793477
17.456047,-3.626151,14.526342,-16.0737
18.47533,-3.308776,12.421998,-15.239543
14.707752,1.9686726,9.086739,-13.090357
13.041357,3.0811458,9.358308,-15.30412
16.296015,0.86741924,13.908898,-15.252429
19.932373,-1.6732835,15.394029,-14.570174
19.667227,-0.5421792,12.248971,-14.32711
19.499754,1.6703297,12.409069,-13.018831
18.302555,2.6079597,11.561942,-14.73938
13.29137,5.28504,9.363096,-15.2597885
17.250776,0.67983234,15.559621,-15.746584
19.124918,-0.64565355,13.19617,-14.822436
16.818058,-0.07562112,14.155774,-12.826923
19.642166,-3.2202022,15.087576,-15.266847
20.605833,-1.838584,12.481495,-13.992477
17.320387,0.97036386,12.201386,-13.986729
15.701869,1.6175733,11.947187,-14.792257
15.432922,0.17249735,14.3618145,-14.451883
16.018387,-0.98060954,12.400076,-15.128115
15.497983,0.69229466,9.026823,-13.844498
12.179173,3.21566,9.858061,-13.905724
14.095578,-0.22697337,12.485127,-15.566275
13.435315,-0.035913642,10.019589,-15.390069
14.476383,0.1260997,9.868076,-15.937765
13.169975,-0.4153572,12.858871,-15.064656
16.337193,-1.7816108,10.779964,-16.089012
17.23036,-0.6006707,13.562089,-12.84768
15.916168,-0.24222514,10.394402,-15.437056
18.879728,1.08684,12.546448,-12.712484
14.3251095,3.2535055,10.410036,-14.364754
16.425028,1.7295455,14.568302,-13.051125
15.169855,1.5738759,8.51084,-15.923019
15.17663,2.3696089,11.819014,-13.156362
18.058249,0.87992823,13.119947,-14.532277
16.426552,1.1056914,12.849639,-14.271964
17.391432,-1.5499573,12.555071,-16.30772
20.702055,1.0241284,12.671532,-11.778068
19.154972,0.9266213,14.384543,-12.666236
17.682806,-0.4040316,13.5173235,-14.434264
20.072313,-0.43759462,12.543231,-13.58096
0.11025478,-4.488346,1.2905521,-5.1636944
4.6462665,-6.1774483,3.068774,-7.251596
8.359813,-6.1856604,1.855608,-9.335598
7.3873625,-2.1314406,-2.7983465,-9.348221
4.0942106,2.4152114,1.6193497,-9.017336
11.997356,-1.5771359,5.2202706,-13.0110855
15.935513,-4.4435325,11.529422,-13.266822
17.267704,-6.4159703,10.053147,-15.785015
18.575045,-3.9767754,4.4588604,-14.684524
15.437654,0.63943726,5.637529,-13.616724
16.29757,1.2744176,7.1874337,-15.468529
18.30542,0.82680553,10.565894,-15.231592
16.148691,0.8242823,13.32361,-15.845795
18.979033,-1.9859818,10.813212,-18.333538
20.59391,0.35647857,12.186502,-14.472074
22.030735,-0.39988157,16.489277,-14.672876
20.211409,0.16750705,13.137949,-15.876221
20.824408,-0.69326806,15.2870245,-14.980632
18.59469,0.37321153,14.507349,-14.675104
18.289356,-0.8023731,15.427674,-15.217197
16.56409,-0.13516727,12.13296,-14.866829
18.810238,-1.8550605,16.876492,-13.958275
19.604643,-2.197282,14.301292,-14.817238
17.816294,0.34924924,12.15842,-14.039685
13.928609,1.6784898,12.356856,-15.3511915
17.062037,-0.5222454,12.225104,-17.31474
17.271112,1.1243199,13.543479,-14.800888
14.127289,2.7402763,9.16782,-16.334587
15.689907,1.6714419,15.402244,-13.553262
18.885088,-1.2658397,13.028131,-16.038904
20.133406,0.5379984,12.073825,-13.311181
16.499487,5.0868945,8.306242,-14.397445
13.762869,3.324497,15.47497,-14.07302
15.209104,0.6074572,10.304489,-16.424423
17.609589,0.12335643,14.381541,-13.268673
17.740826,-1.3461444,13.734697,-15.619107
17.122824,0.94198763,10.284414,-14.913104
16.659294,1.6080818,13.544099,-13.761421
19.926235,0.30378756,12.126608,-15.850483
18.78666,1.5918955,13.765318,-13.246902
18.82289,2.737425,10.850408,-14.823941
11.548124,5.613415,8.673127,-14.97821
15.946844,-0.89770246,17.290375,-14.564123
21.935333,-2.8251312,13.187975,-14.942386
15.324642,4.0517406,9.449931,-11.927903
13.517402,2.0513675,11.651857,-14.788281
15.50799,-0.8842759,15.275156,-14.643488
19.701086,-3.1267018,12.426849,-15.928161
15.292938,2.6957917,9.981037,-12.363017
11.739584,2.250453,11.635979,-14.1396475
18.110981,-0.063265786,12.77406,-14.515147
18.400248,-1.6861944,16.423561,-12.916901
14.1825695,0.8695527,8.618457,-15.589672
13.059896,0.44689536,11.334233,-15.225788
16.204063,-2.5431287,14.676559,-15.879462
