c0,c1,c2,c3
846.34106,806.532,316.42825,156.28198
846.7369,807.2869,316.59467,156.33264
847.0264,807.8389,316.71634,156.36966
847.238,808.2425,316.8053,156.39673
847.3927,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.7369,807.287,316.59467,156.33264
847.0264,807.8389,316.71637,156.36966
847.238,808.2425,316.8053,156.39673
847.3927,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.7369,807.2869,316.59467,156.33261
847.0263,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.53735,316.8703,156.41652
846.3411,806.53204,316.42825,156.282
846.737,807.287,316.59467,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71637,156.36966
847.2379,808.2425,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.7369,807.2869,316.59467,156.33261
847.0263,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.59467,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.53204,316.42825,156.28198
846.7369,807.287,316.59467,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.53735,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.59467,156.33264
847.0264,807.8389,316.71634,156.36966
847.238,808.2425,316.8053,156.39673
847.3927,808.53754,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.59467,156.33264
847.0263,807.83887,316.71634,156.36966
847.2379,808.24243,316.80527,156.39673
847.3926,808.53735,316.8703,156.41649
846.34106,806.53204,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.83905,316.71637,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.53204,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.2425,316.8053,156.39673
847.3927,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3927,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.7369,807.2869,316.59467,156.33264
847.0263,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.83905,316.71637,156.36966
847.238,808.2425,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.53204,316.42825,156.28198
846.737,807.2871,316.5947,156.33264
847.0264,807.83905,316.71637,156.36966
847.238,808.2425,316.8053,156.39673
847.3927,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.59467,156.33264
847.0264,807.8389,316.71634,156.36966
847.238,808.2425,316.8053,156.39673
847.3927,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.59467,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.53204,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71637,156.36966
847.238,808.2425,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71637,156.36966
847.238,808.2425,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.7369,807.287,316.59467,156.33264
847.0263,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.7369,807.287,316.59467,156.33264
847.0264,807.8389,316.71637,156.36966
847.238,808.2425,316.8053,156.39673
847.3927,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.7369,807.287,316.59467,156.33264
847.0264,807.8389,316.71637,156.36966
847.2379,808.2425,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.3411,806.53204,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.53735,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.7369,807.287,316.59467,156.33264
847.0263,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.53735,316.8703,156.41652
846.34106,806.53204,316.42825,156.28198
846.737,807.287,316.59467,156.33264
847.0264,807.8389,316.71637,156.36966
847.238,808.2425,316.8053,156.39673
847.3927,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.83905,316.71637,156.36966
847.238,808.2425,316.8053,156.39673
847.3927,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.7369,807.287,316.59467,156.33264
847.0264,807.8389,316.71634,156.36966
847.238,808.2425,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.59467,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.53735,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71637,156.36966
847.2379,808.2425,316.8053,156.39673
847.3927,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.53204,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71637,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.53735,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.5947,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.53735,316.8703,156.41652
846.34106,806.532,316.42825,156.28198
846.737,807.287,316.59467,156.33264
847.0264,807.8389,316.71634,156.36966
847.2379,808.24243,316.8053,156.39673
847.3926,808.5375,316.87033,156.41652
846.34106,806.532,316.42825,156.28198
846.7369,807.287,316.59467,156.33264
