c0,c1,c2,c3,c4
3.3368397,1.3155109,-1.359304,2.602024,-3.1986244
1.2077969,-0.4181951,1.6430509,-0.91839767,-1.2141222
0.06678698,0.11220757,0.46863568,0.020708453,0.08836161
0.35158822,-0.18430647,0.18526617,0.51509625,1.3966151
0.16777518,0.09973828,0.07423928,0.8153005,0.77542996
0.2714145,-0.048853718,0.46610287,0.6752967,0.4447509
0.56701916,-0.121874176,0.7978908,0.28242338,-0.0069454685
0.81552494,-0.2512711,0.9411245,-0.4900995,-0.5210955
0.31242636,-0.35534558,0.006150683,0.090899184,1.2784525
0.3144203,0.12965265,0.6170426,0.76962787,-0.23534712
-0.9228877,-0.49177107,0.6501843,-1.9685166,0.44969192
-0.21385613,0.4303557,-0.34237257,2.3090777,1.1258506
1.1433032,-0.566675,0.8542564,-1.037357,0.06223654
0.0930889,0.15882078,0.21793166,1.1268797,0.21192074
1.1141887,-0.50475055,1.2563916,-0.57957226,-0.49087727
0.53449255,-0.059179626,0.8086075,0.19787784,-0.47200513
0.8876052,-0.36106285,0.91739714,-0.46924388,-0.30908555
0.21454361,-0.05865749,0.33886725,1.28233,0.605617
0.4396902,-0.18032011,1.2038335,1.0118287,-0.4462223
0.49406144,-0.5524104,0.17581329,0.13607617,1.1818136
0.009187616,0.38124624,0.58241564,1.2432624,-0.7491904
1.0287153,-0.7981628,1.3655013,0.1710722,0.012662165
0.22425428,0.11450831,0.2114527,0.61459064,0.055197947
0.78870857,-0.39843735,1.1445352,0.58544433,-0.10702676
0.08280871,-0.4525536,0.192821,0.4677084,0.7943332
0.34635863,0.03500048,0.4794028,0.6232669,-0.11913688
0.6663088,-0.24353442,0.87929744,0.31776363,-0.35012442
0.7559391,-0.37526068,0.84890765,0.1868098,0.0066771135
0.540527,-0.08440908,0.82283837,0.12474258,-0.50053895
0.9675148,-0.3735083,1.3797497,-0.23656116,-0.9427318
0.7161589,-0.3694528,0.5837593,-0.107196614,0.19168651
0.18436393,-0.06193336,0.49914774,1.4580183,0.054194532
-0.2683588,0.01570288,1.1304935,-0.16233818,-1.1499822
0.99755305,-0.5125039,0.96700126,0.057590794,0.18926829
0.3624079,-0.18698153,0.12687281,0.7322164,0.6736996
-0.067358695,-0.18566546,0.8127541,1.4313779,-0.31065074
0.9233136,-0.36007342,1.5321571,0.2154919,-0.9258077
0.38380316,-0.26056466,1.0230373,0.3384009,-0.68458724
0.6003669,-0.36982712,1.0363073,0.7003675,-0.5440531
0.71079165,-0.5127638,0.72947377,0.44260222,0.22603768
0.20016286,0.04136864,0.48747745,1.0539038,-0.103835024
0.99358016,-0.4615396,1.3469188,-0.022462238,-0.7306605
0.14188632,-0.6601256,-0.34369475,1.2515984,2.0220344
-0.8118715,-0.093314014,-0.29630125,2.4735918,0.3729519
0.61891955,-0.3709906,0.56575954,0.7059851,0.3507169
0.34515324,-0.36503252,0.14779213,1.176801,0.8222992
-1.0231862,-0.41613278,0.25969443,0.5862626,0.25025272
0.071847595,-0.07079061,0.13344803,1.6434488,0.53264517
3.0734293,1.4078313,-1.167529,1.03544,-3.6920576
1.1312143,-0.66443145,1.3987607,-1.4786764,-0.5321867
-0.11984613,0.4185063,0.50279206,0.52121544,-0.6514677
0.8903364,-0.4655927,1.103273,-0.09664784,0.22063687
0.3099405,0.08166615,0.41021118,0.10302152,-0.08181954
0.78740555,-0.23353991,1.3546181,0.18794473,-0.6731305
0.58775103,-0.24829087,0.9165206,0.20451237,0.07556268
0.56618804,-0.09146627,0.8408585,0.31624907,-0.29269817
0.53548014,-0.35542902,0.6326103,-0.008986641,0.47378683
0.080643274,0.15702549,0.57094693,1.3857543,0.2357581
0.81722474,-0.31432804,1.0998988,0.17663671,-0.21290901
0.5033791,-0.095023476,0.83302736,0.41476,-0.27641365
0.47241458,-0.3498381,0.72956437,0.30642414,0.27371672
0.22521308,-0.012235008,0.46708134,0.7953438,-0.09405238
0.7551293,-0.30886588,0.693998,0.012006652,0.22043031
0.198791,0.05549494,0.35714447,0.835332,0.31688774
0.47366503,-0.2503794,1.0140239,0.65592813,-0.49951476
0.36483493,-0.27548012,-0.21373719,0.6197716,1.708276
0.15994081,0.22532049,0.40823385,0.58384126,-0.42584547
1.0988579,-0.6127446,0.9475734,-0.48136032,0.22512847
0.23277584,0.13766351,0.4737483,0.53824335,-0.38433558
0.960101,-0.502662,0.9532234,-0.2943306,-0.092025675
0.37287208,0.00036541373,0.23796877,0.4502989,0.38052374
0.63146406,-0.2937549,0.6817326,0.4155802,0.11699306
0.4650183,-0.08546289,0.9837661,0.5359853,-0.55394375
0.39132962,-0.6053441,0.5218088,0.48529494,0.9081736
0.1939657,0.14721933,0.4380987,0.8568072,-0.2365208
1.0040706,-0.49075302,1.191106,-0.18749355,-0.39255303
0.36330286,-0.04531797,0.48357093,0.62553084,-0.082688995
0.8592442,-0.35100636,0.8992309,-0.32060713,-0.24868017
-1.5272924,-0.6472677,-0.2940844,-1.1128998,1.0010962
-0.7477627,0.55937356,-0.70345,3.5569463,1.4761931
1.2635576,-0.6055468,1.725034,-0.1862878,-0.9908551
0.34281632,-0.19362387,0.42028862,0.88977134,0.31191215
0.6039843,-0.45724568,0.16173986,0.4059205,1.1244911
0.08106259,0.12763801,0.4662014,1.3345054,-0.32216105
0.4626889,-0.6629652,0.9057773,0.20522834,-0.23791918
0.028058209,0.030012764,0.22147408,1.3350405,0.10946702
0.96532685,-0.46225008,1.0053824,-0.49998146,-0.3683812
-0.27750245,-0.0531834,0.20175067,1.003597,-0.093717046
0.8059707,-0.44464764,0.59707737,-0.08173834,0.32363766
0.031743206,0.29158416,0.77531177,1.6357266,-0.78578
1.0437707,-0.9793061,1.3084447,0.29458702,0.19261733
-0.15497628,0.25953355,0.26182294,1.6805004,-0.32049388
0.8988955,-0.5296915,0.95877373,0.022683274,-0.042061515
0.32163385,-0.08681949,0.6909946,1.0896355,-0.26970693
0.4520382,-0.87412536,0.5051335,0.82142955,0.21953148
-0.16290078,0.26726785,0.36213875,1.7699063,-0.38138843
2.9943953,1.36787,-1.1091906,0.7239552,-2.2239857
0.71500236,-0.5459016,1.3764416,-0.25624645,0.0604622
-0.05932655,0.12904945,-0.24432173,0.14158954,1.1492575
0.16500142,0.16556087,0.7098619,0.68008626,-0.44756883
0.77607894,-0.45969185,0.52792764,-0.056065667,1.0812786
0.30429158,0.11997763,0.37860003,0.4928618,0.05792471
0.6803679,-0.2740973,0.7674704,0.021406721,-0.050201185
0.5654508,-0.10644611,0.74908334,0.15764971,-0.08617286
-0.8557028,-0.41392264,-0.2571568,-0.9987713,1.5256364
-0.6942113,0.8884841,0.1052536,3.1546357,-0.12778518
1.7577478,-0.9890169,1.6108277,-1.7846164,-0.4258472
-0.15358189,0.4416329,0.102652274,1.4600068,-0.01294262
1.2790548,-0.7111043,0.97960985,-1.0179274,0.26687518
0.08613572,0.16582552,-0.07180301,1.0695273,0.7242143
0.57807416,-0.18921074,1.1579376,0.5948975,-0.700603
0.8303125,-0.30754742,1.1174178,-0.27629167,-0.54536504
0.7891141,-0.29336867,0.74521023,-0.31421256,-0.061291464
0.35582522,-0.10749515,0.3021333,0.75430137,0.5255417
0.650212,-0.12592253,1.1426626,0.13464226,-0.80430126
0.29999575,-0.34945664,1.1704828,0.49131382,-0.022729583
0.67046946,-0.21456894,0.6560177,-0.18643533,-0.073822476
0.57705903,-0.10163482,1.1568499,0.7008553,-0.6097996
1.068389,-0.5216592,0.9722288,-0.870762,-0.19548452
-0.4421933,0.06731335,-0.07789523,1.3086557,0.75301343
0.75065696,-0.13668475,1.5466564,0.4930113,-1.3194141
0.649466,-0.52863294,0.92785513,0.49702585,0.3729545
0.26137713,-0.05037006,0.34489718,0.8955463,0.21207112
0.8384548,-0.36727127,0.67391217,-0.34735376,0.14173618
0.23619297,0.057821907,0.53373677,1.1813506,-0.12571481
0.8799248,-0.68894565,0.5239458,0.10319461,0.95913774
0.15040913,0.06054703,0.11797484,1.0971433,0.44660303
0.57042,-0.3398889,0.81365615,0.83398265,0.059036158
0.4818211,-0.12841639,0.8964331,0.50343025,-0.54685587
0.35403904,-0.5615633,0.03204106,0.23546435,1.337355
-0.897308,-0.059274994,-0.53394544,2.5596046,1.171216
0.41802958,-0.27187046,0.66165864,0.8645432,-0.2103698
0.65123713,-0.38574156,0.52589256,0.14944555,0.2064724
0.2999144,0.024345554,0.5528752,0.8732824,-0.18398803
0.71359795,-0.35913405,1.3476696,0.81972224,-0.496355
0.75695175,-0.44541535,0.8565089,0.30248433,0.06430214
-0.4619238,-0.5363744,0.027985623,1.3700109,1.0961864
-0.2753032,0.41427198,0.62636524,2.198356,-0.77100104
1.606982,-0.9599227,1.5895658,-1.0621387,-0.340194
-0.18785587,0.46278778,0.357914,1.508329,-0.6968564
1.2282183,-0.79348505,2.1152277,0.6093389,-0.947799
0.72790986,-0.24978814,0.89497954,-0.19545971,-0.5140379
0.11183182,-0.23281273,1.3099482,1.7934998,-0.42472625
1.1260786,-0.6594318,0.981539,-0.5720231,0.02625104
2.8482409,1.4194232,-1.152903,1.0608236,-3.6605647
1.6929961,-0.8365506,1.1424979,-2.3168502,-0.20801207
-0.78531235,0.814088,-0.074517585,1.4569305,-0.05989308
1.134356,-0.5949276,0.98765165,-0.9071231,0.21633455
0.038277067,0.35819116,0.41496763,0.69427586,-0.5387473
0.9527385,-0.5193656,0.6017919,-0.36876798,0.9482454
0.24222866,0.15479627,0.28691152,0.5537823,0.10301267
0.90327394,-0.3739756,0.82679015,-0.26629168,0.22580951
0.24333265,0.061407723,0.13585117,0.8198599,0.8096083
0.6521684,-0.18843588,0.74157554,0.29278135,0.19621873
0.5776348,-0.1655024,0.675667,0.30054492,0.022756808
0.015889205,-0.22415099,0.16661352,0.12855847,0.58996856
0.25578955,-0.044500194,-0.04892675,0.9026234,1.1990238
0.45318225,0.0966293,1.363832,1.0615553,-1.2684431
0.9821797,-0.6425828,0.96425784,-0.19028465,0.5673636
-0.1344209,0.33358875,0.13979506,1.4047315,0.25605628
0.96278214,-0.44761118,1.2626843,0.04218365,-0.32368734
0.52222466,-0.1410931,0.59503096,0.41278124,0.13413408
0.20834646,-0.11310276,0.5660336,0.31396544,0.13128632
