c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
4850.989854770161,1602.4740873859469,1467.799319507324,3876.4294718871606,3168.733188374082,2908.707135963852,3516.5121960353517,4085.282932214787,6119.885849916511,2228.2383512971487
2122.6920159791457,4053.2814091823884,5134.492673632641,4083.815689549019,3673.1969340754404,1334.3482529025018,3185.7991404445447,359.52718740201254,6856.363315876146,2925.55343047168
7409.66183582638,1616.4519754812636,3932.069901494905,3319.0176508761647,3523.957050308756,3382.4019833105153,3494.7282880227344,539.3501641979227,7972.260161443923,4457.5968840970145
8193.07934791057,1736.9937427178431,1427.7249784354062,3599.8408956289095,3240.88952183972,3754.7192648091104,2192.194971609769,2445.5162193236215,3443.8870070036346,3495.686551157246
2789.6465507625326,1726.1113638433785,1477.6120970122831,2515.9746834706893,1926.7971444546406,2677.497168621802,1638.5693621383698,5988.926720072378,3995.905493038779,2284.2793896625603
2207.7400921172584,3127.893988318564,1093.1061502187135,1328.5286975082804,3356.222225561337,2861.7764491192424,3243.484878654063,6068.086650996839,6676.2004713050665,3098.3054465837627
7767.081843295213,3965.737707129212,2295.1276240126417,4888.451257951546,5934.268822114692,4127.809043199107,3610.2885974071887,3391.005881508651,3467.8451646507783,3647.272877681283
5334.530936128551,1509.2800344748873,2223.037955913907,5535.387422714699,5743.052928790682,4868.54187272831,2094.3415089045493,4679.584423019993,3915.9305680635766,3470.604657840563
3499.8900025367852,3900.562583445026,4147.249066612589,3865.3855628668553,3635.681481692788,3116.2621905618366,1960.5575858720588,3102.123278177807,4223.512769655688,2847.5574129742527
4587.536456559114,3931.361250826678,3862.9284486995834,5616.468060685314,1909.7106156230175,3610.5114206793774,3745.925181996406,4291.194536237447,7424.570835151984,4363.566137473544
4621.692798151828,2959.9145507328467,1200.0713276918868,3595.876213791085,3463.616794301452,3511.7274120234233,2180.3263346389112,2863.738559370826,7319.286044575412,1988.2971466324059
1994.4863998259855,5405.270944738382,2135.1235407981294,3243.7562797349674,3090.4927688282196,4108.539615951304,3172.8724086934385,3389.7105038701757,4198.194843835958,7421.470468475647
4866.878001368103,2824.6086717116764,2347.5513614986085,1271.7914370565993,2175.695138853047,2214.7150739835106,5688.809832125476,2203.2489832014653,3437.1605019387835,3723.9554415507323
5376.519821255157,4075.0891372633755,3817.787234920185,4119.034993516511,3487.84487421933,2794.0002659772754,3497.1175493410365,6276.696593642014,6814.852832055414,2141.7973407471936
4017.3997771750333,1833.7577982370467,3794.9493050189126,3219.1497004050816,1912.1978653847123,3444.453889223174,1812.8970268064527,3583.094848167216,4566.525658390121,1983.5123580497193
7918.826189301073,3694.5470528190585,1604.7389202892075,3221.067530247702,3209.817294251384,3063.315944101314,1991.6214940371046,5345.289121486156,4517.041893037665,3938.3077977856733
4232.252864029551,1600.9247395133598,5035.174774559372,1556.4261792145487,2155.3660333642847,5052.1846986102055,3279.170598761627,5875.934319107087,4361.62708412561,1283.3146149896013
3291.9685593741533,4771.361551470305,4351.278621969436,4650.369302200972,3363.8911511858414,4217.369772797812,4033.989625959671,3693.835655691587,1987.3226276850933,2154.056896785927
2367.946385369564,5220.7639300536775,1461.4917300180643,3641.871903957017,3773.6392187929996,3925.4024437081016,3273.1582357787893,4282.018318758881,7313.96687099426,3441.444329931098
1899.793891552548,2524.7533047796196,4684.008887021183,4037.11496699737,1900.6291304912756,1653.062634402001,3313.4628593362004,3831.7248618132435,4067.5788313462085,3547.841586206755
4194.401092052107,3355.1725481708813,4298.377761036616,4025.8033206777227,3384.7670032838387,5463.511962640755,3671.7522852171624,4861.383341839151,5475.203820466097,3648.3199834822535
2966.077623193977,3990.6728597325555,4973.41318926829,4794.36586807391,3663.1043687485662,1362.7100400595373,3370.335986464253,3641.005938707558,3888.7386612682267,2138.987983539472
4028.244534356891,3873.977790712376,5312.890635681115,4155.563726557153,2098.9639164774635,4679.198325081113,3188.9729937366874,4318.0034705382295,4752.091576190092,2341.7946193347607
3753.284625869289,3889.1613704035635,4549.835543993552,3313.742914346042,3590.099224645497,3388.764853971923,2032.7560699486294,2185.041914090213,7450.427806229303,6658.248453998616
3062.4552625910865,4329.6055322895345,1506.704809121145,3212.571989265456,3657.8709112413762,3120.6800424130033,2701.2064490174266,2336.214110144777,3985.2263281779983,6452.461659724496
4557.761845946565,4354.438191226229,1367.4816132233368,4249.116465937419,2061.483918738919,3063.0194820951465,6143.624680599314,366.1976728091521,3933.407423220576,2287.783651769892
3819.7098936302436,4088.205482883618,5009.387347666714,3278.8676251517636,3542.699811536133,1583.0085534252867,3222.188844751979,2138.2276384316838,3286.5341970218537,3697.441322242207
4203.4478451335035,2989.545102491402,4570.654759632747,4988.676214014255,3299.7876094529897,3145.3956370160868,2800.532511615033,3523.1220585418723,4299.179071605677,3812.153793440467
2246.4807761635357,4147.419557576237,5111.229210223613,1439.1947204329313,3499.4252655466976,1544.1290668165884,2867.62128991344,337.91949030443897,4138.288378909895,4604.3267807804905
2278.189118704589,5532.710899595466,2306.5594716586847,3650.4462108954376,3300.2111796331405,3582.929281921612,5584.450581534011,664.5492107631363,1660.0694871236697,3119.2193443654464
3674.8266685606964,1539.5613759471203,3754.2958745764604,1607.8319283893413,3421.382272824247,4076.891227029839,3334.7881643127744,3449.64590797032,2103.642103559664,2981.5431436486965
4061.104106492758,3127.56696021302,1435.7806871081248,4195.998432442108,3231.979414014501,3760.1599610691705,5915.869385303857,4100.18681661304,2143.7081224520616,3427.2159308090518
3963.8484543678937,1674.8596385812698,3970.5118438381724,4087.8200103908603,3327.9351508744157,3884.427771728428,2162.5218465186576,3458.004919513138,1726.4183187474473,5285.7761793676245
2386.0220260330293,4139.18566938507,5210.918889006647,1647.9251143956303,3626.7587184913696,3330.5134497663066,1955.3415863253872,3655.5992085252046,3017.784499543596,7742.890007850181
3914.3337450289264,3241.8704918858266,4789.943398033678,1629.3296256782296,3503.05157283449,3470.985019812596,1811.8810485832241,4035.208321045663,2088.741255031031,3002.67345812246
3658.386467977629,5208.533525244852,5366.137678619386,3954.6589413982892,3457.066221003618,4919.9421767205895,2162.088766511429,489.013823632533,3068.919170383749,4917.240902252602
4139.682395806046,4413.902989912457,4997.7666046800605,3578.535965584271,2625.005401680282,3577.689208571883,3484.151824334379,2576.116543945286,5473.628970667503,3159.5378241818785
4490.726610219457,3019.2761414406004,5707.948929172494,4057.770216668974,5546.548837945529,1638.5451404897997,2946.6725493101167,660.1716940871843,2152.664171857167,3601.4566647367
3906.620354178478,3790.5751559056107,4026.544457880914,1235.2283999859544,1727.3141080079522,2424.803703479186,3514.473887797678,386.5981082908255,4020.968059593696,5458.259259833742
3611.964302291735,4142.171344595166,4905.777211162468,5631.882743955059,3354.0566561192672,4292.907454684384,3183.740081363101,2470.4695787315563,6010.1787231649105,3309.7646914346606
2171.602845830009,5390.56981126581,3415.330453847861,3479.376857584499,2963.9675442770776,3285.1218520638636,3567.2182256744827,3487.847841010076,5252.061191511097,3305.9225866558663
