c0,c1,c2,c3
1358,1217,381,92
2314,275,2708,346
974,196,243,316
7623,229,256,60
5768,221,4489,293
7636,2589,3965,56
6193,321,303,1289
582,1501,51,51
1359,224,272,382
3060,4195,58,51
1769,3032,58,562
1464,3292,35,448
1140,3685,3929,338
1871,279,45,388
5593,598,3487,223
2520,572,1574,227
279,276,1359,99
1092,269,3265,439
401,265,33,1198
2793,676,861,302
1145,205,14,201
7045,1600,53,619
313,271,3996,290
438,291,270,764
1820,1485,1457,669
6863,3211,52,84
2673,216,11,56
1341,3436,3777,263
2391,227,31,750
5240,1373,2435,93
7609,145,477,1251
1113,252,33,821
2448,1380,23,1001
2758,278,296,45
5436,3308,4461,209
1443,303,241,72
3302,2644,43,838
351,280,1506,1470
501,641,1002,88
1245,1466,30,577
1975,201,40,208
1179,210,1239,215
1535,288,1526,250
978,297,3396,283
6284,216,3778,192
2966,909,26,333
6474,192,1297,220
1869,2806,201,286
661,1629,16,699
363,3568,47,1318
8147,191,45,220
2582,153,299,409
1311,251,281,279
416,2833,1123,407
7256,264,875,236
538,301,1297,1701
1320,1263,24,215
1923,636,443,1637
1275,3401,39,988
3236,195,282,212
2173,969,371,1185
1891,275,3613,1179
2769,2573,306,52
1513,2638,380,45
1263,237,63,254
1019,834,53,287
1070,995,54,79
1530,902,449,832
3320,194,266,1492
2119,174,1356,1081
1019,811,56,201
580,1838,10,214
2150,266,249,39
2431,194,1115,319
478,2459,3619,494
1731,3353,218,53
968,247,334,244
1313,1755,250,321
5738,969,54,634
5056,295,257,433
7784,2542,27,387
489,718,45,606
1080,264,928,709
3383,141,36,32
531,1835,333,73
1561,304,2888,1602
1101,584,345,377
1875,249,1183,228
1390,582,1136,245
5194,1470,31,57
6798,2278,273,404
1741,230,247,73
2627,1561,176,93
2386,2951,972,1581
910,559,3182,273
2564,1665,3259,46
1556,1635,4207,31
1724,559,264,899
8368,1841,425,318
5889,539,69,419
1449,214,3991,251
6427,209,479,559
2595,3497,55,1447
534,1264,51,877
2651,2938,897,197
310,3214,1072,263
2303,220,1454,55
2568,233,340,750
6105,2939,1357,334
1457,126,432,1515
1490,799,27,381
8134,884,1479,193
1843,1487,2684,341
2347,200,1514,98
2456,241,28,35
1125,1089,3991,573
406,1462,1056,294
2341,1881,1364,1540
4989,2429,49,355
2432,2749,54,51
3065,497,3148,561
1349,494,67,210
919,237,384,100
971,236,55,44
339,2048,345,457
2129,164,39,1516
521,1779,1479,55
1942,1441,1199,1783
489,995,24,538
1160,1805,957,63
1125,248,513,83
1357,287,779,267
2751,769,1111,1214
3341,227,240,810
1259,309,4035,1164
566,3693,27,577
305,1709,3492,313
1924,1670,61,697
3075,313,2811,739
447,247,207,55
8408,873,29,618
1021,1991,56,895
933,140,1409,435
3102,889,338,65
5523,4174,21,244
510,310,3836,318
2905,1519,281,1058
365,1935,265,70
1304,285,373,315
1379,2039,324,284
573,120,2362,202
291,276,4068,275
1031,3675,60,296
1975,159,1558,65
1381,172,2936,52
2744,267,2979,348
7478,3755,4319,1265
1270,247,60,887
1076,1298,43,390
281,1877,31,64
6202,282,416,47
2602,1442,35,245
3497,1634,734,72
2173,3221,2589,246
1533,2753,347,72
1256,230,1551,70
3070,251,1325,870
1670,1921,998,695
2133,270,34,217
1345,176,37,63
637,1864,2585,355
1657,1408,33,100
2143,1365,252,258
2629,1602,19,64
1901,1499,1200,1316
1074,313,3243,64
1629,642,15,829
1863,2848,3789,59
644,308,273,210
7824,911,281,245
6877,223,467,952
6887,1476,63,1001
1667,1518,53,42
1711,1049,290,210
400,155,1437,258
2863,1329,17,47
4827,985,1710,330
1228,258,1357,94
2157,1155,37,363
1320,1111,2421,1007
