c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
-3508.2258,-1842.2449,-1450.9033,-1979.5015,-75.7224,-1679.0476,-3654.8958,-2235.301,-2905.6318,-853.34076
-1321.6456,-1556.8484,-2011.7284,-1349.0375,-501.6108,-875.5763,-3409.6858,-656.7311,-2653.4187,-594.8666
-1383.253,-1560.1,-2476.9075,-1187.4214,-663.9403,-1160.8489,-3260.8835,323.4872,-3013.2634,-841.1551
-1237.389,-1395.8967,-2758.6792,-590.3048,-603.5568,-588.4583,-4064.5098,-619.8683,-2578.1187,-600.1208
-1429.9872,-1159.9072,-3015.733,-446.66028,-511.64737,-419.83014,-3905.0447,-693.38226,-1624.3944,-608.8602
-1202.0293,-1082.4783,-2894.6257,-852.40936,-355.44318,-1017.4703,-3986.7803,-769.3739,-1469.1183,-704.45135
-1407.9683,-1158.1312,-3215.1274,-416.31342,-485.5462,-542.20245,-3997.161,-1144.1318,-1342.4358,-674.81384
-1693.4437,-906.01154,-3255.1335,-219.02121,-613.8141,-765.4395,-3573.4023,-1185.3793,-1265.4146,-884.2254
-1658.778,-1191.407,-3359.9163,-1011.09424,-627.883,-1599.0546,-4114.005,-1851.3042,-1614.3463,-1072.7527
-1932.1215,-1259.0292,-3441.1238,-536.38245,-697.3478,-1283.8218,-4104.756,-2156.5095,-1562.4142,-1180.0759
-1758.6122,-1375.7527,-3716.065,-1005.37976,-683.3378,-917.3961,-4862.224,-2767.8333,-1057.0823,-1644.6112
-1993.973,-1220.4343,-3559.2627,-737.2036,-786.28516,-1601.0702,-4094.5168,-2256.384,-887.40674,-1279.4193
-1692.1653,-1306.1957,-3635.1587,-542.18744,-653.81213,-886.643,-4291.376,-2429.6445,-879.5604,-1204.6068
-1891.1537,-1178.3153,-3204.6384,-431.31244,-717.9106,-1287.2675,-3975.696,-2155.5032,-844.5173,-1347.636
-1797.5157,-1247.0457,-3467.69,-857.2721,-816.13055,-1424.9675,-4207.1616,-2073.5273,-1391.9165,-1372.9799
-1878.7913,-1088.6664,-3445.3293,-482.3637,-760.69104,-1126.4528,-4050.3882,-2187.111,-1397.7202,-1406.9167
-1986.267,-1063.351,-3551.7207,-486.3159,-757.61334,-1282.8365,-3827.2827,-2216.427,-1396.7858,-1369.591
-2063.901,-591.3653,-1888.461,-40.286755,281.52396,607.8607,-3706.709,-1177.0862,-1025.1278,-206.91925
-214.3736,352.1951,-1811.7815,716.8156,390.27948,864.5998,-1569.8093,1661.7264,-981.0671,532.5397
342.69943,-211.57121,-2328.9197,-171.17517,193.81798,268.60812,-3003.3704,1139.6005,-1045.639,847.4366
843.5069,-2.1255486,-2408.7803,104.19606,767.6837,390.41052,-2595.6333,1571.8552,-62.782627,1185.3945
544.78845,145.29146,-2212.757,-168.48622,541.1467,425.66364,-2520.2585,1198.338,-83.75399,1093.143
559.85895,-630.3828,-2513.8071,508.8386,818.8048,537.217,-2532.6418,969.72186,-356.5301,445.94592
188.27332,17.179815,-2543.8027,-417.35126,422.21164,93.598785,-2971.953,347.57495,-104.67583,613.9199
88.79712,300.3066,-2521.7437,-41.783142,552.61664,-148.90724,-2395.693,113.77383,152.27809,515.50885
275.4086,-190.00296,-2565.5356,-65.841156,630.9027,-76.72054,-2831.8293,-12.957869,160.73418,406.22995
-333.3625,52.435574,-2893.3652,-8.985231,179.15456,-268.9437,-3213.878,-783.8661,-126.39035,267.66916
-267.80835,49.74273,-2957.573,-313.31696,163.94643,-280.7621,-2959.6238,-844.8858,256.53973,239.44112
-379.8772,-530.3155,-3158.726,-788.3771,-34.29499,-993.071,-3345.9702,-1461.1371,-613.5347,-240.02837
-590.4127,-599.03894,-3322.4355,-491.61288,-68.627716,-681.259,-3728.254,-1768.446,-11.473562,-562.5566
-968.18146,-602.66113,-3516.4646,-579.83124,-177.56064,-868.4109,-3627.6047,-1973.6693,-370.60056,-420.14673
-924.77686,-602.9622,-3425.2305,-484.30527,-282.98276,-794.11084,-3732.5845,-2016.1124,-297.0537,-571.26416
-944.51526,-611.1763,-3439.827,-691.929,-261.53232,-978.5493,-3518.9988,-2007.2614,-291.45456,-550.35944
-1068.7593,-652.8973,-3174.3955,-460.469,-328.70084,-1271.3481,-3501.7732,-1853.1593,-424.594,-598.7551
-5718.792,-2546.7114,-329.54852,-4941.8994,-1496.6705,-4993.693,-3199.4568,-2567.868,-5830.99,-2113.07
-3960.8105,-4481.306,-3068.3845,-5352.3564,-1896.6323,-4895.593,-5794.356,-4339.9497,-5096.904,-2532.4902
-4497.5386,-4931.4233,-3313.1157,-5207.242,-2639.3416,-4919.303,-6363.982,-4123.2583,-5321.954,-2758.1729
-5169.518,-4871.1064,-3575.165,-5121.4795,-2769.9688,-4888.6167,-6326.627,-3779.039,-6131.253,-2966.776
-5069.6226,-4739.491,-3798.169,-4936.986,-2802.2515,-4724.5825,-6630.349,-3587.7183,-6107.0093,-2882.6025
-5135.503,-4469.625,-3675.7573,-4481.592,-2723.923,-4486.26,-6053.6807,-2789.6223,-5961.052,-3160.7139
-5145.869,-4073.1235,-3901.8416,-4492.193,-2547.1382,-4465.0273,-5979.958,-2932.3323,-6054.5425,-2845.9336
-5400.9204,-3841.8738,-3903.3813,-4159.4683,-2643.0173,-4290.6396,-5605.5215,-2352.2617,-5923.366,-3066.4683
-5261.2554,-3517.8508,-3817.0818,-3633.607,-2654.2278,-4007.2083,-5391.2456,-2371.9229,-5754.614,-3049.3264
-5113.3457,-3280.452,-3716.0234,-3356.0986,-2410.3823,-3867.9402,-5171.3315,-2326.1045,-5420.3003,-2866.0537
-5039.37,-2813.382,-3861.4775,-2787.6929,-2462.4634,-3396.1934,-5431.1514,-2465.0613,-5142.393,-2780.4387
-4892.3726,-2525.4924,-3909.7112,-2164.6392,-2319.9575,-2885.6873,-5279.0947,-2479.7803,-4949.687,-2551.4402
