c0,c1,c2,c3
-1.4208046,-1.1933546,-1.3224252,-1.8886987
-1.0992558,1.604708,1.6035436,1.0324354
0.13292481,0.68392766,-2.481733,-2.113133
0.5281993,1.3913769,1.6221282,2.3388557
-2.5185707,-3.9109902,-1.3871417,-1.6893729
-0.507109,-0.8680069,0.4200133,1.6306033
2.9830284,1.7634742,-1.457233,-2.7698572
2.435493,2.717062,1.6653396,1.9574519
1.8845086,1.227355,2.1571853,1.8102313
1.2025665,0.39935347,-0.55535567,-0.9197247
1.4811144,1.4149824,-0.1341666,-2.027871
1.3416034,2.0169647,0.72629017,0.12444583
1.9324865,0.90601593,1.5865828,0.58170784
0.3391226,0.7019208,2.074142,2.3846223
-0.9534625,-1.8066274,-2.6177058,-1.6355387
1.3619657,0.673612,1.8977234,2.213481
1.9105947,0.37705195,1.2037402,0.6431395
-0.2544042,1.6735274,-0.07172343,2.097429
-1.3513472,-3.0232632,-1.205011,-2.1334493
0.8444085,-0.7626298,-1.0517768,-0.21502572
0.2303465,0.22185837,1.1562489,1.9933562
-0.24487491,-0.5130391,-2.3904052,-2.074449
2.1622937,1.1690389,2.3062243,2.0853672
1.145811,2.0497274,-0.33978257,0.21999653
1.1296407,1.2000452,-1.649841,-1.4327602
-1.3116919,-2.1961339,-1.7415621,-0.18055782
-0.684567,-0.4548116,-0.78933513,1.0266129
1.7331655,0.7745537,-4.1811795,-3.2456975
1.9507565,-1.2335984,0.8908325,-1.3285404
-0.9930937,-0.88654983,-1.5375725,0.20228118
0.12710862,-0.94978696,-2.6120617,-1.8935382
-0.853612,0.4386665,-2.4470603,-0.21509263
-0.22908847,0.46356425,-2.0659175,-1.3525301
0.7528879,0.4821517,-2.7584856,-0.84746474
-2.5345998,-5.247932,-4.1148744,-2.4155684
0.17640439,0.036665983,-2.0717027,1.1379769
3.317951,2.3875027,1.8084229,0.40304565
-0.20539401,0.24588569,-2.4611745,-1.2310624
0.3887228,-2.3719175,1.760759,1.8870624
-0.9230594,-1.3942026,-3.4214516,-1.1822962
-1.5480741,-2.203436,-2.2927678,-1.6138321
3.551575,2.1537702,2.1332247,0.21285613
2.178883,2.5421665,1.3159481,2.1667812
0.20255958,-0.9793371,-2.469063,-2.331592
-1.3728932,-2.4111378,-2.7905989,-1.4446303
-0.44465494,-1.0292764,-1.737875,-0.966345
1.312202,0.7113472,-0.67949,-1.7340448
1.3678633,0.17438668,0.5114572,-0.0136234155
1.3558815,0.11292059,1.0390118,1.5160903
1.7958198,-0.2122433,0.64273113,0.3130279
-1.2069188,0.20055735,-0.99708587,1.3076662
-0.6465231,-2.490163,-3.023702,-3.0694351
1.8358558,-0.107951544,1.1108462,0.87021554
-0.18981561,-0.21888046,0.06328267,1.1928673
-1.9856871,-3.2869754,-2.1725307,-0.3142353
0.7142305,0.93634933,-3.094523,-1.8233577
-0.26303953,-2.2919476,-4.3246303,-2.6342673
0.1063119,-0.642616,-1.3072304,0.2888868
1.8545303,0.22382827,0.085191004,-0.5940656
