c0,c1,c2,c3
-5780.348,-871.60016,-471.21713,-1155.9392
-5100.913,-2565.252,-3654.5862,-1157.0544
-4659.9165,-2391.2356,-3660.402,-1159.713
-4699.9683,-2239.6733,-3683.1826,-1159.3212
-4827.086,-2554.9739,-3694.4817,-1159.6113
-2598.922,-2697.2341,-3703.1067,-1159.9498
-623.46716,-1905.9078,-3702.4517,-1159.5193
-566.8794,-2479.0808,-3710.965,-1159.8071
-1400.9094,-2058.453,-3708.7078,-1159.5703
-307.20816,-2161.902,-3699.6353,-1156.0763
-5178.8535,-1906.3396,-1109.3215,-1152.9653
-3957.5151,-2282.6182,-3657.4888,-1156.7727
-1339.1344,-1930.4574,-3673.5715,-1153.6523
-3567.1265,-2267.0247,-3712.6282,-1159.7307
-2471.6045,-2463.4622,-3712.1523,-1159.662
-4267.05,-2406.4033,-3712.8416,-1159.7477
-1632.8936,-2529.992,-3711.5544,-1159.7968
-118.29838,-2262.1077,-3709.9106,-1158.927
-4144.073,-2522.0889,-3713.3105,-1159.8049
1825.212,-2713.078,-3706.3357,-1158.8265
-5403.705,-2508.0322,-3512.974,-1158.0631
-5214.461,-2875.9285,-3603.9097,-1158.6478
-5507.128,-2812.1125,-3691.6997,-1159.2188
-3057.3225,-2617.7322,-3685.553,-1159.7155
-4566.8413,-2557.3613,-3698.4714,-1159.9761
-1399.8214,-1574.7076,-3662.88,-1159.0791
-2097.8315,-1759.308,-3712.6697,-1159.8292
-4404.7334,-2766.2788,-3712.6125,-1159.9296
-583.42236,-2377.8074,-3709.3062,-1159.8679
-2271.239,-2056.0496,-3713.0544,-1159.8259
-6115.3203,-2888.2488,-2613.7913,-1159.3658
-6151.363,-2877.353,-3662.7932,-1159.9563
-5971.1274,-2842.365,-3588.5261,-1159.7701
-5655.859,-582.9352,-3450.4668,-1159.2056
-5368.0366,-1770.0225,-3636.7485,-1159.8467
-1277.9581,82.698456,-3658.9204,-1155.7024
-3782.511,-2359.5132,-3699.658,-1159.5188
-127.68956,-1236.7682,-3699.6174,-1157.1436
-3310.34,-2557.5188,-3701.701,-1156.2706
-4124.1333,-2730.5596,-3708.6343,-1157.8594
-5962.1836,-2576.9995,-763.5232,-1154.3638
-6090.2515,-2594.1028,-3087.0535,-1157.5278
-5968.1797,-2571.183,-3645.6677,-1159.373
-4460.0063,-2162.2986,-3631.947,-1158.4344
-5127.524,-2555.6375,-3710.0012,-1159.974
-4120.708,-2639.6602,-3703.9573,-1159.8479
-1665.6046,-2057.2913,-3689.4956,-1157.3783
-722.4648,-1963.2152,-3706.925,-1159.5154
500.9888,-2260.6975,-3704.1218,-1158.8746
-1206.3048,-2576.7515,-3705.9478,-1158.8346
-5965.466,-2617.9612,-3507.163,-1154.1611
-5996.7456,-2482.5674,-3704.3613,-1157.4288
-1912.141,-1984.1663,-3701.0183,-1153.5697
-4120.9937,-2816.9019,-3708.8003,-1159.752
-1291.732,-2017.0482,-3707.9434,-1158.8253
-1866.8832,-2296.6182,-3712.6584,-1159.824
506.22565,-2699.5093,-3705.2659,-1159.1152
-235.75655,-1888.0898,-3707.9106,-1159.0365
-2634.808,-2514.59,-3712.08,-1159.324
963.6102,-1822.2288,-3706.7197,-1157.7802
-5068.1465,-2891.1458,-2124.5156,-1159.2921
-5912.484,-2861.043,-3520.0518,-1159.0276
-5651.2124,-2565.179,-3709.8567,-1159.0415
-1810.6456,-1643.6846,-3707.2515,-1159.0093
298.8838,-2164.0483,-3693.1748,-1157.7625
-1355.4148,-1966.7827,-3709.805,-1159.2809
-1817.0555,-2792.4282,-3711.5063,-1159.959
-2717.506,-2113.324,-3712.1802,-1159.9265
-192.0411,-1655.4753,-3712.8276,-1159.642
1412.4307,-2120.6267,-3710.2131,-1158.5997
-6121.9893,-2825.143,-3706.275,-1159.5969
-6044.1733,-2733.3403,-3668.841,-1159.3275
-5792.3228,-1634.464,-3640.8735,-1159.6588
-4144.4155,-2297.5076,-3703.3958,-1159.5051
452.14612,-1920.412,-3688.5105,-1157.0161
323.67737,-2349.7673,-3708.1658,-1159.2501
-907.30304,-2708.0515,-3706.3508,-1159.8196
1596.3341,-2665.6758,-3695.16,-1159.4504
-1174.6522,-1658.3734,-3689.9678,-1154.1176
-1296.6392,-2309.52,-3712.6672,-1159.2428
-2034.3215,-2459.0781,-3707.47,-969.938
-1810.3153,-2578.394,-3706.1072,-1140.2139
-2723.3232,-2503.479,-3708.5667,-1159.7146
-5316.3945,-2252.6392,-3713.923,-1159.8457
1558.7649,-2469.9946,-3711.1694,-1156.8655
1601.788,-2281.1907,-3707.8179,-1158.1913
642.77814,-2298.3452,-3707.0327,-1156.8774
-1416.5464,-2529.6838,-3713.1372,-1159.9244
70.36688,-2587.4324,-3708.7463,-1159.5482
-1605.1383,-2259.495,-3712.1511,-1159.6791
-5983.381,-2519.2302,-2642.468,-1159.8301
-2840.5935,-2714.0273,-3635.5305,-1154.4838
-4203.845,-2871.6816,-3701.7021,-1159.0856
-3832.9058,-2411.7239,-3704.1235,-1159.6548
-362.31912,-2186.9106,-3694.018,-1159.1908
-3515.7502,-2483.129,-3699.398,-1158.3999
-3643.6846,-2362.096,-3711.395,-1159.6221
-2387.608,-2617.4932,-3711.6943,-1159.9674
-1949.6614,-2190.3806,-3708.5225,-1159.736
-2652.2039,-2597.5059,-3707.1758,-1159.6501
-4837.665,-2756.008,-3645.8367,-1156.9225
-5963.153,-2334.603,-3637.04,-1158.6077
-5799.012,-2545.4727,-3550.0754,-1159.05
-4029.7395,-1861.5944,-3688.7253,-1159.6204
-5524.3037,-2308.9653,-3710.4866,-1159.1459
-3204.271,-2096.527,-3711.1567,-1159.4773
-2379.8123,-2207.6697,-3706.106,-1157.475
-11.821171,-2564.5552,-3706.9504,-1159.4514
-3872.301,-2402.0425,-3706.02,-1156.1085
-626.4372,-2051.0554,-3710.8757,-1159.1278
-6131.256,-2878.6025,-3703.9893,-1157.9031
-5808.9863,-2110.5344,-3709.763,-1158.9354
-5481.2954,-2707.5483,-3706.531,-1159.4596
-2728.225,-2097.5818,-3710.1963,-1159.4841
-5086.8223,-2507.1694,-3713.464,-1159.806
-1844.1256,-2204.4873,-3711.2217,-1159.8616
-2203.969,-2338.3293,-3711.4749,-1159.802
-490.798,-1863.6151,-3709.8906,-1159.5791
177.01044,-1921.9056,-3708.8281,-1158.972
626.41785,-2470.4202,-3708.1084,-1159.5597
-6121.398,-2416.6172,-1930.507,-1150.9951
-6140.8643,-3034.6611,-3551.3162,-1159.0012
-5542.929,-2598.1248,-3659.021,-1159.3572
-4905.5728,-1501.477,-3710.386,-1159.7222
-3226.5405,-1733.6388,-3710.6924,-1159.9222
-1951.6697,-2692.9749,-3698.3884,-1159.4626
-1802.2163,-1960.7334,-3707.1182,-1159.7241
-3661.793,-2320.0918,-3707.4497,-1159.8453
-2287.7656,-2908.187,-3710.5608,-1159.971
-2580.8044,-2345.1265,-3704.6846,-1159.8868
-5653.1113,-301.86862,1085.6165,-1158.0317
-6104.711,-2520.9648,-2908.0344,-1159.5945
-5665.5605,-2615.1318,-3710.8738,-1159.7687
-2808.4536,-1929.1788,-3692.5803,-1159.5824
-2025.7122,-1981.5187,-3698.915,-1159.5211
-1244.3442,-1875.6,-3710.4585,-1159.4491
-3471.9775,-2248.9268,-3712.9155,-1159.7888
487.48148,-2459.5906,-3709.0557,-1159.6987
600.7024,-1988.9276,-3706.8633,-1159.1857
3.5531213,-2451.7244,-3707.366,-1159.3896
-6067.0225,-2738.107,-3693.0837,-1159.389
-6057.006,-2058.5251,-3704.9624,-1158.6656
-5983.3184,-2721.8022,-3705.3047,-1159.5962
-4971.6094,-2498.004,-3709.6597,-1158.6002
-5654.4136,-2057.1528,-3712.9304,-1159.5363
-2880.4985,-2821.6177,-3710.7239,-1159.4967
-4519.326,-2540.7417,-3709.1926,-1159.7001
-4130.0396,-2277.1685,-3711.1187,-1159.0948
512.2323,-1837.1821,-3697.5415,-1151.3293
-537.4231,-2216.3381,-3708.9026,-1158.3473
-4976.812,369.94818,-3166.3901,-1150.877
-5772.5757,-2556.2764,-3710.761,-1159.7054
-5520.2656,-2487.074,-3696.8655,-1159.6864
-1894.8551,-2096.3862,-3667.0999,-1159.6174
-4386.5083,-1912.0496,-3706.275,-1159.9254
-2926.5408,-2121.6797,-3707.914,-1159.9575
-4163.007,-2356.4148,-3702.6377,-1159.8771
-3410.714,-2437.706,-3712.237,-1159.8212
-1292.4048,-2141.042,-3701.8557,-1159.7728
-4263.072,-2613.7346,-3713.147,-1159.9913
-5914.33,-2753.771,-3362.0635,-1142.5714
-5844.349,-3012.8806,-3710.599,-1158.5176
-1889.7279,-2802.8992,-3666.3604,-1157.8944
-3982.535,-2731.2424,-3704.219,-1158.1923
-3046.2502,-1683.3156,-3711.2405,-1158.9875
-3174.7515,-2356.3916,-3713.1252,-1159.9764
-1594.0961,-2718.7192,-3706.7822,-1159.5701
-708.76074,-2575.4897,-3708.708,-1159.7709
-668.38257,-2985.5212,-3711.7644,-1159.9625
-2269.8865,-2440.4563,-3705.2273,-1158.8059
-5070.9214,-1378.7861,-2613.6423,-1107.4597
-4787.8853,-1906.1569,-3487.2163,-1157.4486
-4456.9917,-1482.5938,-3660.2664,-1158.9757
-2985.08,-1972.8414,-3679.3494,-1159.011
-5155.0957,-2677.7249,-3711.956,-1159.9272
-1539.9512,-1847.642,-3701.8635,-1159.4425
-753.0494,-2384.0576,-3703.3367,-1159.4368
-1392.0085,-2576.0913,-3712.417,-1159.9409
428.08368,-2060.1343,-3709.2202,-1159.4072
-662.44275,-2429.6865,-3710.9304,-1159.8284
-5837.1133,-2279.9678,-3125.4731,-1155.9065
-5357.999,-3015.991,-3705.806,-1159.1887
-5938.2563,-2663.5032,-3709.4045,-1159.7202
-3228.3645,-1761.6256,-3711.4312,-1159.6251
-1655.2107,-2336.6208,-3703.4417,-1158.57
-418.06143,-2262.0535,-3710.5815,-1159.5624
-91.24133,-1993.0714,-3712.152,-1159.3112
269.1763,-2757.9836,-3712.5156,-1159.7196
-3400.768,-2862.342,-3713.4695,-1159.8462
-3339.572,-2208.05,-3713.738,-1159.8383
-6127.033,-2060.0576,-3286.5725,-1157.1626
-6076.243,-2554.5354,-3660.1294,-1159.8699
-5509.2974,-1159.5742,-3693.0205,-1158.7166
