c0,c1,c2,c3,c4
3.7637455,-0.13778709,1.0017222,2.8092418,-1.2750313
-4.253895,0.26296988,-0.36477378,-2.7861626,-1.0344605
-1.7797222,-0.9671965,-2.732956,0.98550844,1.325548
-1.1621906,-0.11498809,0.34321758,-0.27737418,0.9960487
-0.1695206,0.7661058,-0.2053291,0.20226714,1.5248289
-2.0257416,-0.7576418,-2.0738895,-0.9292253,-0.5139649
0.7228364,-0.4110579,0.514607,0.5142714,0.36069635
0.6981556,-0.68540704,0.27072904,-0.5962317,0.82252294
0.7008427,-0.47892737,0.15219298,0.38650832,0.14542127
1.6827732,0.20908587,0.33360693,-1.0195633,0.48681766
0.7146629,-0.15233828,0.82057154,-0.38163978,0.59454995
1.1912259,-0.8062228,1.9921477,3.1040082,1.0684032
0.9360422,-0.4007005,-0.16129416,-0.46518904,0.655214
1.8345954,-0.21183449,0.69138443,1.7199432,0.60130215
1.1008396,-0.19412434,0.032058448,-1.9223089,-0.3374397
1.2987121,-0.100607164,1.1776488,0.82014304,0.68291545
1.5130564,-0.21366414,-0.013435839,-0.8558045,-0.03908906
1.7139453,-0.07707562,1.127056,-0.36326194,-0.056593884
0.79080766,-0.5879682,0.13449092,-0.9573887,0.9472059
1.3104969,-0.15335341,0.5410664,-1.054174,0.1682554
1.6066794,-0.2550174,0.7641203,-1.2193775,0.42860302
0.09905877,-0.4933533,0.45680982,-0.78613,0.26373687
1.3019563,-0.29915226,0.20198525,1.7818533,0.60967755
0.3883786,1.1979235,0.10509384,1.1063505,1.411996
0.8632856,-0.24115415,0.06860924,-0.8437973,0.88222075
0.18985075,0.8094015,-0.3633089,0.43691444,0.2410533
3.473493,0.4839945,1.7959245,3.6457295,1.3357811
1.2675637,0.12275794,0.99303174,-0.33332822,0.14323387
1.5133989,-0.37986112,0.891266,0.7038619,0.92253774
0.48020828,-0.6197148,0.08423166,-1.2941214,1.0357872
0.94419605,-0.4477551,0.8330211,-1.1353984,0.15029733
4.709025,1.7649832,0.13433918,1.887658,0.5851955
1.746477,-0.6867424,1.5862031,3.2348235,0.8039464
2.1901064,0.062628165,0.80198175,1.2064986,0.29393417
1.3275237,-0.1937838,0.5803691,0.28107968,0.5547496
0.50859445,-0.727234,0.3077947,-0.48468637,0.93100756
