,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
0,1383.3079,1175.4825,484.1794,757.40106,1109.7764,730.7481,1693.3678,1496.6987,1585.8851,1407.2769
1,1485.872,1157.7534,537.53296,838.5635,1147.559,805.8655,1696.2095,1380.6156,1593.1061,1433.6808
2,1462.4663,1097.4598,547.53827,838.19543,1109.1053,768.0353,1617.4395,1397.8551,1503.8837,1393.755
3,1386.8237,1033.6616,524.2408,788.045,1054.1652,725.99567,1525.1416,1312.8654,1424.6982,1328.0973
4,1428.5442,1028.6337,541.0921,807.40344,1060.3896,737.98804,1511.468,1279.1033,1440.5132,1292.9375
5,1427.5232,1019.547,539.3201,804.19525,1050.1273,740.3008,1491.1523,1245.583,1418.1495,1271.9104
6,1418.7272,1014.5211,540.87994,801.51666,1043.2596,738.6941,1468.6826,1212.1537,1398.596,1252.7358
7,1412.7192,1013.1101,543.0537,798.3719,1037.5941,738.76056,1451.8057,1184.682,1382.1132,1238.0182
8,1403.3225,1013.8937,544.09607,792.56537,1030.8077,737.8444,1436.0115,1159.1718,1363.7264,1225.4089
9,1394.9893,1017.6538,545.49493,786.73566,1024.9376,737.04266,1423.3983,1140.2737,1347.7081,1214.8231
10,1386.1915,1023.0633,546.3498,780.246,1018.9484,736.06824,1412.866,1126.1906,1332.2693,1205.3602
11,1376.7502,1029.7524,546.72095,773.47595,1013.0269,734.8463,1403.9355,1114.9323,1317.5956,1196.4178
12,1367.0541,1037.4236,546.77734,766.7442,1007.4682,733.5036,1396.5685,1106.0918,1304.128,1188.0018
13,1357.5895,1045.7909,546.8387,760.3833,1002.5009,732.21045,1390.5603,1099.6686,1292.1908,1180.0452
14,1347.4966,1054.0659,546.37695,753.79333,997.6399,730.6617,1385.477,1094.2325,1280.9658,1172.5148
15,1337.2756,1062.2864,545.76074,747.2925,993.1206,729.0301,1381.1085,1088.5271,1270.5933,1165.2719
16,1326.2966,1069.9165,544.5143,740.3621,988.6222,726.98395,1377.3744,1082.6014,1260.6017,1158.5641
17,2233.1238,1901.111,744.7862,1334.5012,1581.3964,1338.1519,2391.9116,2134.2073,2392.4536,1946.9918
18,2360.4028,2098.1814,839.2618,1484.2327,1650.7142,1556.9736,2531.3462,1874.3518,2420.923,2041.8514
19,2461.1787,2132.596,916.06134,1471.9952,1639.9928,1560.1433,2552.864,2127.242,2452.7966,2097.993
20,2393.0825,2046.0686,875.9572,1370.4939,1595.067,1536.7877,2454.121,2017.4055,2362.0874,2039.5371
21,2379.174,1992.4938,879.7865,1378.2202,1590.6952,1542.4849,2408.8474,1987.5155,2352.1484,1988.2133
22,2367.4182,1965.1842,875.15967,1388.5859,1579.6332,1551.0061,2394.1733,1979.1019,2339.123,1963.128
23,2335.1667,1941.8785,866.84937,1390.2306,1562.6052,1547.9039,2368.9304,1945.631,2313.1934,1937.9824
24,2309.6528,1929.2217,864.5959,1397.7616,1549.8258,1544.1261,2351.0457,1927.9851,2296.7512,1917.6154
25,2276.3972,1916.7808,858.5469,1396.6433,1533.9951,1535.5154,2328.3687,1903.5419,2272.2834,1896.3741
26,2241.6033,1905.4652,852.27155,1392.272,1518.0975,1523.4905,2303.7024,1879.4175,2246.7935,1873.8623
27,2205.665,1896.2307,844.73584,1383.9271,1501.1465,1508.8833,2277.9338,1853.2032,2218.4253,1850.4756
28,2171.1487,1888.9661,837.0268,1373.3704,1483.9297,1492.2377,2251.8528,1830.8723,2190.0906,1826.6168
29,2136.4873,1883.3577,828.26166,1359.6755,1465.569,1473.6307,2224.73,1807.3424,2159.5046,1801.8011
30,2105.5977,1880.1757,820.29004,1345.9854,1447.7006,1454.4446,2198.642,1789.8872,2130.92,1776.872
31,2080.282,1878.8698,813.4194,1333.0817,1430.9327,1436.1738,2174.6472,1780.633,2105.2722,1752.6035
32,2053.8967,1877.8207,804.7822,1317.1166,1412.9846,1416.963,2149.8906,1765.1587,2076.2192,1727.8855
33,2033.7146,1879.0189,798.31305,1304.3966,1397.4512,1399.0046,2128.1777,1758.4535,2052.4465,1704.1586
