c0,c1,c2,c3
0.15126367,0.15615648,0.1380148,0.09941107
0.0835638,0.10000256,0.08080174,0.08671906
0.24611853,0.25098342,0.21606983,0.18834876
0.37188232,0.3784026,0.35348523,0.29052284
0.4780232,0.48630923,0.4345749,0.33518827
0.5599823,0.562283,0.4714887,0.3421874
0.5977054,0.5848244,0.45432466,0.30591276
0.59194237,0.55704767,0.39258096,0.23664632
0.56293297,0.5043788,0.3214467,0.16848153
0.5321765,0.45157275,0.26422694,0.11982062
0.5146129,0.4157424,0.23431483,0.09971434
0.5063116,0.39068726,0.21348034,0.08615147
0.5043796,0.37353012,0.1986851,0.07588518
0.4988529,0.35264808,0.17540798,0.05518314
0.49231178,0.3321911,0.15305409,0.034583427
0.48365626,0.31144384,0.13197972,0.015355048
0.46840456,0.2842552,0.10060827,-0.015190704
0.4480459,0.25306222,0.065700285,-0.0492497
0.42754108,0.22416241,0.036364723,-0.07746005
0.40223163,0.19122382,0.0003883189,-0.11302647
0.3738358,0.15677479,-0.036376156,-0.14954059
0.34263185,0.12119565,-0.07326328,-0.18609801
0.30903316,0.08473524,-0.11147208,-0.22446406
0.27793452,0.053423937,-0.1422042,-0.2557512
0.24405919,0.020793077,-0.17476088,-0.2889909
0.21365905,-0.0059723337,-0.20029293,-0.31607437
0.1844814,-0.029280495,-0.22049764,-0.33763838
0.16029857,-0.04505773,-0.23151773,-0.35051265
0.14020534,-0.05496716,-0.23690908,-0.35857967
0.12393,-0.059553344,-0.23702255,-0.36193463
0.111613,-0.059106108,-0.23254798,-0.36134344
0.10122277,-0.05599595,-0.22506024,-0.35756236
0.09636131,-0.046205748,-0.20947903,-0.345758
0.10046558,-0.02569176,-0.17995991,-0.31993645
0.1065105,-0.0041065686,-0.15356657,-0.2983874
0.12083182,0.026398385,-0.1162124,-0.2662118
0.13804224,0.059147537,-0.07714691,-0.23236927
0.15987779,0.0957696,-0.03538658,-0.19652857
0.1777186,0.12610441,-0.0025925054,-0.16926841
0.19705962,0.15723003,0.03304639,-0.13828309
0.21372978,0.18407226,0.06350503,-0.111669235
0.23250017,0.21262144,0.09775218,-0.0805242
0.250429,0.23885997,0.12799388,-0.05336782
0.2595713,0.25411975,0.14517544,-0.03794352
0.2634086,0.26307485,0.15724768,-0.025734164
0.26877126,0.2744961,0.17773923,-0.0028558203
0.2905384,0.305634,0.22775869,0.05020328
0.31864813,0.34270707,0.2814465,0.10519798
0.34797826,0.37984,0.33402538,0.15857734
0.36053658,0.39634815,0.35946232,0.18623833
0.3412862,0.37692705,0.3433767,0.17747758
0.2774996,0.30925712,0.2752416,0.12557396
0.16408634,0.18918744,0.15208203,0.02903101
-0.004853128,0.011408171,-0.029170444,-0.11367961
-0.22247526,-0.21692044,-0.26149702,-0.29907575
-0.47205335,-0.47686243,-0.51765937,-0.50408304
-0.7256985,-0.7366484,-0.7545563,-0.69040614
-0.9525376,-0.9625073,-0.9362681,-0.8277686
-1.1425372,-1.1462799,-1.0685201,-0.9264444
-1.2935126,-1.2868526,-1.1550007,-0.98882025
-1.4078392,-1.3884524,-1.2083563,-1.0268741
-1.4937241,-1.460409,-1.2397445,-1.0486896
-1.5524997,-1.5037661,-1.2481256,-1.050593
-1.5908948,-1.5262764,-1.2446449,-1.0432186
-1.6192359,-1.5401988,-1.243494,-1.0403388
-1.638661,-1.5465354,-1.2401563,-1.0356504
-1.6526045,-1.5490612,-1.238336,-1.0328255
-1.6598834,-1.5456485,-1.231682,-1.02454
-1.6601454,-1.5352918,-1.2176604,-1.0078119
-1.6527748,-1.5171736,-1.1963236,-0.9833942
-1.6374961,-1.490917,-1.1674067,-0.9513518
-1.6162522,-1.4589273,-1.1344101,-0.9154668
-1.5809261,-1.4110607,-1.0818185,-0.85944146
-1.5343117,-1.3506086,-1.0171609,-0.7919128
-1.4780799,-1.2804313,-0.9462237,-0.72016
-1.4190809,-1.2097228,-0.8820164,-0.6579785
-1.3642306,-1.1474279,-0.83501226,-0.6158688
-1.31819,-1.098692,-0.80717963,-0.59426445
-1.2852495,-1.0685449,-0.8046291,-0.59931475
-1.2721344,-1.0643435,-0.833817,-0.63652366
-1.2732922,-1.0780907,-0.8786345,-0.6883187
-1.2697382,-1.0844425,-0.8991073,-0.7125158
-1.2500204,-1.0698581,-0.8884199,-0.706455
-1.2082632,-1.0288776,-0.8489779,-0.6758256
-1.1398582,-0.95737916,-0.7793747,-0.62026906
-1.0473055,-0.8602135,-0.6916413,-0.55353093
-0.93822306,-0.7470067,-0.59440297,-0.48195332
-0.8234107,-0.63035774,-0.4970412,-0.41138253
-0.7096623,-0.5177676,-0.40352693,-0.34331343
-0.60543513,-0.41861135,-0.32335174,-0.28580123
-0.51350975,-0.33516607,-0.25678736,-0.23829186
-0.42561,-0.25647452,-0.18775219,-0.18502581
-0.3308809,-0.16931373,-0.10060927,-0.11237623
-0.21025337,-0.05184263,0.031159855,0.0033698303
-0.047340237,0.11197381,0.22102398,0.17084758
0.15572636,0.31462398,0.4493918,0.36635503
0.36436337,0.51273113,0.65610874,0.53159934
0.5525545,0.6790321,0.81682795,0.64959794
0.7057825,0.80310196,0.9304514,0.72644436
0.8203887,0.88676023,1.0061047,0.7751264
0.1413516,0.14521024,0.12443942,0.086801924
0.019915538,0.030193536,-0.0011527819,0.0135690095
0.083050795,0.07112208,0.012098014,0.0067923428
0.076635405,0.052289117,-0.0051123346,-0.03156996
0.047236893,0.00903626,-0.07539971,-0.12726898
0.017839953,-0.0417117,-0.15486486,-0.23055838
-0.0022129295,-0.087807976,-0.21874148,-0.31449735
-0.012150683,-0.12470998,-0.2625742,-0.37315217
-0.018792186,-0.15780811,-0.29782468,-0.4183508
-0.02482453,-0.1886215,-0.32888514,-0.45576578
-0.034327883,-0.22078533,-0.3605774,-0.49097052
-0.040309664,-0.24514891,-0.38089812,-0.5131396
-0.04644419,-0.26612404,-0.39773405,-0.53095895
-0.05036427,-0.28109965,-0.40822408,-0.54238737
-0.053991955,-0.29273582,-0.4161361,-0.55137223
-0.05680717,-0.30067605,-0.4209002,-0.55752224
-0.060575556,-0.3075809,-0.42686248,-0.56553227
-0.06394622,-0.31169343,-0.4296291,-0.5704798
-0.06516636,-0.31092432,-0.42633682,-0.56934136
-0.06330955,-0.30492878,-0.4192131,-0.56531745
-0.060826816,-0.29643247,-0.40955076,-0.558744
-0.05675844,-0.28524402,-0.3996529,-0.552964
-0.056890752,-0.277956,-0.39501292,-0.5520448
-0.061787054,-0.2754392,-0.39602023,-0.55621
-0.06987481,-0.27571183,-0.3990605,-0.5616213
-0.07959641,-0.27698827,-0.40227723,-0.56662834
-0.09072471,-0.2789537,-0.40511122,-0.57063854
-0.0992314,-0.27708748,-0.40278894,-0.56947434
-0.1063183,-0.27273905,-0.39661494,-0.56405306
-0.110280566,-0.2645778,-0.38717642,-0.5559351
-0.11255999,-0.2544061,-0.37608165,-0.5463308
-0.11212821,-0.24092396,-0.36053276,-0.53207856
-0.10779652,-0.2231073,-0.34047487,-0.5135945
-0.09986728,-0.20149076,-0.3164516,-0.49139765
-0.09103937,-0.17983463,-0.29473186,-0.4720224
-0.082698785,-0.1592601,-0.2732766,-0.45223764
-0.07515311,-0.14046672,-0.254478,-0.43488726
-0.072344705,-0.12797259,-0.24330086,-0.42441282
-0.07447374,-0.12172517,-0.23831333,-0.4189157
-0.07917878,-0.118683115,-0.23523843,-0.41423187
-0.08071045,-0.1118935,-0.22579992,-0.40275788
-0.08618944,-0.10965967,-0.22073524,-0.3945753
-0.09217855,-0.10845793,-0.21724586,-0.38800597
-0.09823972,-0.107558034,-0.21339646,-0.38070646
-0.10207963,-0.10368748,-0.20310792,-0.3660283
-0.09841946,-0.091197364,-0.18193135,-0.34101778
-0.097456336,-0.082667574,-0.16829193,-0.32394502
-0.10359898,-0.08317891,-0.16638975,-0.31798014
-0.12276211,-0.09955089,-0.18478534,-0.33107403
-0.1525455,-0.12765025,-0.2135796,-0.35191962
-0.1906679,-0.1639245,-0.24648401,-0.37376243
-0.23444484,-0.20516032,-0.2808175,-0.3948189
-0.28637323,-0.25417942,-0.32000607,-0.418334
-0.34997696,-0.31597987,-0.37417698,-0.4555721
-0.42885098,-0.39428052,-0.44465795,-0.50669724
-0.52484685,-0.49094236,-0.5326632,-0.572565
-0.64075017,-0.608745,-0.6392349,-0.6537046
-0.77406126,-0.7444293,-0.7581443,-0.74406725
-0.9214523,-0.8941102,-0.88399,-0.8390541
-1.0808501,-1.0560231,-1.0167637,-0.9403501
-1.2471548,-1.225234,-1.1526703,-1.0461944
-1.4108496,-1.3916957,-1.2822813,-1.1492827
-1.561398,-1.544157,-1.3961433,-1.2419559
-1.6898738,-1.6727577,-1.4859536,-1.3162355
-1.7941749,-1.7753748,-1.5535405,-1.3737674
-1.8741745,-1.8514383,-1.5979778,-1.4113753
-1.9340564,-1.9057556,-1.6273341,-1.4365003
-1.9766146,-1.9412919,-1.6432918,-1.4493247
-2.007497,-1.9643133,-1.6523433,-1.4555222
-2.0281878,-1.9767495,-1.6553534,-1.4558055
-2.0400398,-1.9799764,-1.6520047,-1.4492604
-2.044126,-1.9753891,-1.6441656,-1.438352
-2.0416205,-1.9644785,-1.6331074,-1.424598
-2.0337238,-1.9485078,-1.6187134,-1.4074508
-2.0194275,-1.9264665,-1.6000831,-1.3866249
-1.9995679,-1.8990136,-1.5769782,-1.3615601
-1.9760219,-1.868733,-1.5542026,-1.3381385
-1.9456534,-1.8317276,-1.5244248,-1.3081533
-1.910317,-1.7899345,-1.4912384,-1.2756406
-1.8688346,-1.7419755,-1.4523798,-1.2383273
-1.8224009,-1.6895717,-1.4117765,-1.2010282
-1.7706801,-1.6323799,-1.3679457,-1.1621293
-1.7103461,-1.5664777,-1.3161209,-1.1170322
-1.6418126,-1.4918617,-1.2554337,-1.0642997
-1.5631227,-1.4067785,-1.186166,-1.0054989
-1.4760054,-1.313186,-1.1094182,-0.9411897
-1.3797687,-1.210738,-1.0252466,-0.87180084
-1.2758347,-1.1015325,-0.9363905,-0.8003467
-1.1667064,-0.9888768,-0.8462841,-0.72997344
-1.0565833,-0.8778289,-0.75948286,-0.664438
-0.9491918,-0.77240473,-0.67815477,-0.60446984
-0.84929186,-0.67812115,-0.60916173,-0.5565704
-0.7571631,-0.59377646,-0.54534185,-0.51131046
-0.67566204,-0.5219242,-0.49041623,-0.47216472
-0.6058714,-0.4637646,-0.44826978,-0.4438255
-0.54617596,-0.41668573,-0.41441685,-0.42137104
-0.49080434,-0.37307918,-0.37825897,-0.39435467
-0.4400288,-0.33308846,-0.3419659,-0.36556265
-0.39538932,-0.29928768,-0.31278723,-0.34342653
-0.36020264,-0.27573705,-0.29640186,-0.3333711
0.14728045,0.15179202,0.1326735,0.094508275
0.058342393,0.072625436,0.049514975,0.059318244
0.17017947,0.16747501,0.12190832,0.10541466
0.21047834,0.19993669,0.15523265,0.11375571
0.2001109,0.17682599,0.094019994,0.027627371
0.16182134,0.11574775,-0.010733557,-0.096824534
0.11468157,0.03998704,-0.1138728,-0.2131241
0.071121566,-0.0339409,-0.19867486,-0.3056958
0.035263117,-0.09969274,-0.26585123,-0.377331
0.0042975703,-0.15894175,-0.32231,-0.43613034
-0.025092559,-0.21425115,-0.37306976,-0.48793042
-0.051479876,-0.2632149,-0.41660482,-0.5323352
-0.074215665,-0.30430767,-0.45078188,-0.5673463
-0.094201736,-0.33837235,-0.47708657,-0.5945715
-0.1100728,-0.36422044,-0.49576628,-0.61501354
-0.12193968,-0.38213018,-0.50690794,-0.628548
-0.13159683,-0.39450932,-0.5135891,-0.63808656
-0.13890617,-0.40166488,-0.516457,-0.6444537
-0.14503834,-0.4053085,-0.5174003,-0.64931697
-0.14960949,-0.40515816,-0.51498896,-0.65098345
-0.15308705,-0.40200043,-0.5101852,-0.6502715
-0.15501434,-0.39559984,-0.5026453,-0.6468403
-0.15600994,-0.3869098,-0.49330735,-0.6416098
-0.158205,-0.37878603,-0.48578396,-0.6379345
-0.16020906,-0.36989054,-0.47814915,-0.6341485
-0.16350165,-0.36174864,-0.47071087,-0.62975794
-0.16468905,-0.3505684,-0.45920873,-0.620991
-0.16619189,-0.33968934,-0.4493939,-0.6139562
-0.16742933,-0.32849732,-0.43955907,-0.60678
-0.16936211,-0.3177156,-0.42851746,-0.5973052
-0.17063493,-0.3064913,-0.41811088,-0.58864576
-0.17250536,-0.29599962,-0.40782046,-0.5794624
-0.17518827,-0.2867608,-0.39915416,-0.57155764
-0.17857963,-0.27868035,-0.3916191,-0.5644079
-0.18300302,-0.2720272,-0.38512906,-0.5577255
-0.18973832,-0.26821318,-0.3809993,-0.5524991
-0.19501165,-0.2630563,-0.37491748,-0.5452686
-0.19788738,-0.25532296,-0.36529312,-0.534368
-0.20057212,-0.24765867,-0.35540593,-0.5229029
-0.1997303,-0.2364219,-0.3415719,-0.5077949
-0.19851357,-0.22525488,-0.32787845,-0.49261507
-0.20026505,-0.21849589,-0.32121655,-0.48453295
-0.20435229,-0.2149828,-0.31749168,-0.47864372
-0.21082243,-0.2142316,-0.3145336,-0.47217965
-0.21942267,-0.21648121,-0.3159902,-0.4700315
-0.23175643,-0.22278258,-0.31921634,-0.46805343
-0.2463167,-0.23217031,-0.32723057,-0.4709759
-0.264512,-0.2456805,-0.3385794,-0.47622856
-0.2870953,-0.2639166,-0.35349622,-0.48377955
-0.3100517,-0.28218263,-0.36644602,-0.48862043
-0.33668503,-0.30426195,-0.38240272,-0.49550852
-0.36645797,-0.3298692,-0.402315,-0.5058972
-0.3968484,-0.35561502,-0.41968116,-0.512741
-0.4273054,-0.38039237,-0.43219084,-0.51329225
-0.4654171,-0.41368702,-0.4547329,-0.5226005
-0.5155709,-0.4606297,-0.4919156,-0.5445962
-0.583189,-0.52695125,-0.5483685,-0.5824305
-0.67223793,-0.6165179,-0.6259067,-0.6369783
-0.78496104,-0.73140997,-0.72519046,-0.70862657
-0.9210032,-0.8711741,-0.8451433,-0.79710937
-1.0792239,-1.0352162,-0.9871198,-0.90615875
-1.2496247,-1.2128621,-1.1395003,-1.0273966
-1.4148593,-1.3844987,-1.2792854,-1.1402357
-1.5653071,-1.5398564,-1.4002138,-1.2406026
-1.6896079,-1.6661656,-1.489147,-1.3148217
-1.7849005,-1.7602342,-1.5473151,-1.3633277
-1.8557539,-1.8270683,-1.5828778,-1.3925494
-1.9068823,-1.8721429,-1.6026787,-1.4079105
-1.9407611,-1.8982471,-1.6088526,-1.4104773
-1.9614503,-1.9100181,-1.6065153,-1.4050066
-1.9709364,-1.9096104,-1.5956869,-1.3905728
-1.9738536,-1.9028474,-1.5844495,-1.376353
-1.9704604,-1.8899767,-1.5693284,-1.357883
-1.9622585,-1.8730602,-1.5536737,-1.3394763
-1.9534658,-1.8573261,-1.5441195,-1.3285981
-1.9431146,-1.841374,-1.5345348,-1.3176969
-1.9310641,-1.8248909,-1.5249848,-1.3073002
-1.9123302,-1.8016355,-1.5068194,-1.2884295
-1.8872296,-1.7715181,-1.4811352,-1.2622803
-1.8563884,-1.7354199,-1.4504784,-1.2320156
-1.8197691,-1.693308,-1.4143251,-1.1969719
-1.7755116,-1.6432068,-1.3713908,-1.1564503
-1.7242496,-1.5858152,-1.3225579,-1.1113942
-1.669539,-1.5260156,-1.2762022,-1.0713987
-1.6083745,-1.4603987,-1.2257099,-1.0293156
-1.5415636,-1.3899282,-1.1731435,-0.9876055
-1.4672703,-1.3128169,-1.1171603,-0.9456436
-1.3806887,-1.2229837,-1.048029,-0.89288944
-1.2828066,-1.1212114,-0.96644425,-0.8296988
-1.1773752,-1.0125262,-0.87986207,-0.7637909
-1.066258,-0.8990736,-0.78739476,-0.6927405
-0.95326203,-0.78525585,-0.6928186,-0.6194227
-0.84402484,-0.67788506,-0.6044337,-0.5518211
-0.7440651,-0.5833611,-0.5292493,-0.49614736
-0.6543434,-0.50202924,-0.46553248,-0.44984776
-0.5714686,-0.4285719,-0.40409306,-0.4030887
-0.49137104,-0.3576646,-0.33930716,-0.35109806
-0.40778884,-0.28197762,-0.26358965,-0.28761834
-0.3221156,-0.20376253,-0.18295012,-0.21970543
-0.23774791,-0.1280216,-0.10759763,-0.15847534
0.14355819,0.14754869,0.1270456,0.08909879
0.03539412,0.047044333,0.018243644,0.030720104
0.120025374,0.11202612,0.0587499,0.048671205
0.14905132,0.13371262,0.0877029,0.053946044
0.17396803,0.15381142,0.08863032,0.026466925
0.2044245,0.17329851,0.07955017,-0.010263463
0.23467322,0.18744563,0.069879286,-0.04200115
0.27122727,0.20710567,0.07622641,-0.051155884
0.32316348,0.24543703,0.11215442,-0.02560739
0.39771786,0.31178832,0.18273342,0.03641918
0.49775407,0.40935338,0.2868174,0.13084549
0.6240314,0.53819865,0.42237002,0.2535559
0.7611562,0.67861694,0.56289846,0.37710896
0.90311176,0.8235971,0.7060656,0.50054026
1.0395181,0.9611439,0.84144884,0.61550003
1.1679171,1.0883797,0.9665292,0.7196971
1.283441,1.2006112,1.0791514,0.81295717
1.38986,1.3025124,1.184713,0.900862
1.4866233,1.3936744,1.2820894,0.9824844
1.5778483,1.4786757,1.3748746,1.0607258
1.6634775,1.5573107,1.4616406,1.1339003
1.7432594,1.6293069,1.5411416,1.2003714
1.8127692,1.6900355,1.6079146,1.2550011
1.8696835,1.7375873,1.6605844,1.2969699
1.9073102,1.7653315,1.6924094,1.3204622
1.9248691,1.773124,1.7033455,1.3258659
1.9206944,1.7600062,1.6943326,1.3156369
1.8923284,1.7228011,1.6584585,1.281691
1.825861,1.6461295,1.5767976,1.2055792
1.7135955,1.5217872,1.4398712,1.0803502
1.566706,1.3628923,1.2660455,0.9279968
1.4057494,1.1921359,1.0838223,0.7768967
1.2429401,1.0211825,0.9022564,0.63118035
1.0889605,0.86118287,0.7330729,0.49831095
