c0,c1,c2,c3
234.73174,517.04596,19.528189,13.145843
742.3584,49.616936,14.008398,26.03389
1135.1342,42.01162,22.38986,46.604004
738.2966,40.39211,14.224346,31.254465
1081.4583,37.636856,18.772648,44.879593
1049.768,37.852364,20.702456,44.1736
1221.4711,38.808613,28.902504,50.692924
964.9294,37.063293,20.504107,40.77497
1475.7169,46.956085,60.01286,59.3358
1418.2368,50.12167,137.37163,53.817947
207.13179,648.3557,18.27766,12.160213
539.007,62.64607,11.928058,18.926386
639.065,47.896255,11.754392,25.666737
239.8887,222.91272,12.935188,13.887326
683.6681,39.188103,9.014143,24.032097
997.20764,39.878445,15.646659,41.09613
706.6723,41.74129,12.662016,30.002125
252.36003,150.2346,11.683996,14.010994
220.96031,201.91815,9.9739,10.1266365
245.9037,137.26959,9.167554,9.979609
364.65723,281.65106,25.150145,18.074371
998.334,43.72205,21.049566,36.26902
746.2047,46.50053,16.032066,31.679327
1285.3403,40.683025,28.063284,52.385376
983.8437,37.83478,21.320082,41.175987
1110.4924,37.610622,23.685991,46.374447
885.8003,37.418713,17.244188,37.66031
277.9334,120.56413,12.253917,15.299969
392.54712,55.65258,8.583575,15.574164
384.40024,72.248604,9.6257925,16.509329
1040.5042,102.94745,143.71825,42.7707
1175.6962,52.645336,112.808334,44.850132
1189.3458,55.936634,173.31076,50.83867
1017.1103,39.529137,62.089325,43.18655
1036.8984,38.198757,37.875473,44.446236
830.38226,37.586647,19.136915,36.232037
1133.3713,38.24088,24.81222,48.180622
915.63416,37.639393,18.578062,39.216755
887.71686,37.187504,15.981262,37.73247
986.34503,37.278614,17.588863,41.782402
210.296,628.6634,18.420004,12.261387
630.334,55.488503,12.529082,21.945211
285.63345,159.96219,13.359669,15.001025
819.7843,37.367092,10.647865,29.31693
792.70404,43.835636,13.838163,33.312164
1153.2008,38.02932,20.24012,47.270897
905.8927,37.99406,17.005217,38.227905
1067.5674,37.101845,19.799702,44.544014
1000.90704,37.158543,19.253246,42.165257
1045.9644,37.021263,20.271112,43.94512
268.70132,420.9063,20.99378,14.452459
839.56445,46.402176,15.923484,29.761238
807.9336,44.097404,15.625186,33.60778
219.4815,256.80585,13.874025,13.825459
265.25604,95.60503,8.852431,10.958999
347.1241,76.83483,9.120623,13.928191
242.13315,410.80008,12.817751,12.493921
417.5881,57.622807,8.183114,14.634182
510.88983,56.077953,9.809199,20.33622
806.3457,38.54684,11.281652,31.801054
588.0674,164.9171,38.364594,25.834837
875.14813,45.48702,20.97585,32.291634
1203.6624,43.45069,30.277332,49.77464
722.6119,40.12009,14.882041,30.92963
766.24304,39.240757,12.951348,32.18436
965.8063,37.84597,15.884745,40.549404
915.2773,37.919968,15.961339,38.720078
800.43475,38.373363,13.682428,33.879135
726.8653,39.740788,12.198242,30.708984
676.4476,41.062798,11.310874,28.455175
537.1797,181.2852,34.7072,24.126823
995.6407,43.78806,23.905924,36.7588
444.5682,71.664604,13.669256,20.811722
743.6204,38.94796,11.127799,29.206018
416.7997,75.40318,11.492952,19.481745
720.8477,38.60918,10.076727,27.943073
728.2349,42.398914,11.978752,30.554192
232.75433,448.7162,15.722036,15.810789
407.25516,56.40272,8.026272,14.834067
535.8146,54.18699,9.878378,21.294191
950.544,107.39969,97.34022,38.54338
1218.0294,51.836613,93.859695,45.994537
1237.831,57.088078,171.67006,51.617134
1056.8599,40.45144,73.87991,44.361565
1232.6785,45.85786,101.2233,50.92979
1222.9779,44.888916,108.78779,49.80729
1173.8062,41.334442,85.887,48.522717
803.48956,37.273163,23.592905,35.90124
461.52475,51.14966,11.921084,21.29887
725.5299,38.76301,11.098247,29.74415
247.1942,476.4294,20.075863,13.622801
631.0514,54.655525,13.098007,22.38349
1081.8164,41.21597,19.367142,43.828075
770.31683,40.237717,14.456454,32.51363
222.73499,330.37476,14.900747,14.846233
502.41876,46.534943,8.181786,17.99739
574.36566,53.520813,10.620305,23.57046
499.98453,49.771137,9.678369,20.636309
433.20404,58.084476,9.531599,18.42118
547.87616,45.339584,9.225885,21.923342
708.8656,137.12367,49.546738,29.855062
1244.5431,47.68338,53.87854,46.539883
854.07605,43.14473,22.666021,35.89677
388.387,60.65083,11.2099285,17.947792
226.01323,271.95544,12.28989,12.529587
208.49268,384.6617,11.055743,8.938801
224.19272,704.75366,13.072328,8.807092
221.41142,816.68634,13.547945,8.225981
217.99162,642.4597,12.272291,7.5533323
437.59833,65.83328,8.799191,13.469707
409.03998,245.55925,27.279186,19.68229
939.9028,44.296833,20.163527,34.29478
