c0,c1,c2,c3,c4
0.076969646,0.03381337,0.07779703,0.06870387,0.13133281
0.046913505,0.0032257056,0.008293934,0.013652381,0.0040305085
0.009980637,0.005473165,0.0052282643,0.00509576,0.0037578458
0.008182231,0.004327379,0.0040009944,0.0053164274,0.0042369496
0.007629977,0.0044291904,0.004231217,0.005552554,0.004734802
0.007552637,0.004406225,0.0044276305,0.0057928283,0.004896212
0.0075411005,0.00445079,0.004611446,0.005855067,0.00500199
0.0075707883,0.0044870847,0.0047170916,0.0058592116,0.0051009096
0.007609341,0.0045204493,0.0047769602,0.00583051,0.005198756
0.0076411623,0.0045347023,0.004755035,0.005790371,0.0052740728
0.00770591,0.0045228633,0.004611248,0.00573756,0.0052829063
0.007622649,0.0036106422,0.0039661117,0.0073867072,0.0056727813
0.0075776377,0.0037835557,0.0040811505,0.0069710347,0.006116664
0.0106753465,0.018658344,0.009577179,0.0037211706,0.0033054713
0.010432376,0.002938829,0.0030254964,0.061226163,0.0050593293
0.00415348,0.0034195618,0.0030094415,0.16453618,0.019940423
0.00506459,0.0033675302,0.0025201458,0.020848215,0.018819075
0.0056545804,0.0072462442,0.010248794,0.006036822,0.019466622
0.014993659,0.005876015,0.011679474,0.006871742,0.003447881
0.031458285,0.0035407143,0.01023584,0.50987417,0.0043055587
0.09990859,0.0034273048,0.04531848,4.0438614,0.041949216
0.34497458,0.004833892,0.082745165,3.85136,0.118326664
0.52136564,0.0057141595,0.05780402,3.4477963,0.11728068
0.40444803,0.006607953,0.06394391,3.2250688,0.16463594
0.08590563,0.005964135,0.04487025,2.4702804,0.07838751
0.006410451,0.00454904,0.003391563,0.31474468,0.016035203
0.0064349687,0.0102759935,0.005589847,0.0056381463,0.0080100605
0.0062379953,0.005979449,0.0044420706,0.0055412934,0.005286181
0.005819898,0.0054884744,0.004798666,0.005607623,0.0048357793
0.0038817783,0.0037279297,0.0046796063,0.15355033,0.011099504
0.005434333,0.0071673216,0.053332318,1.0391905,0.52738905
0.004637865,0.007718969,0.025726806,1.0839173,0.30309924
0.102271944,0.0025544101,0.01003598,0.054992896,0.0058579044
0.5643209,0.004153217,0.1813681,1.7405223,1.151479
0.025413558,0.005662404,0.026631333,3.152101,0.5332409
0.008473157,0.0038481245,0.0034892778,0.7497593,0.018187795
0.0062683043,0.003956621,0.006002777,0.5299046,0.052856535
0.019259509,0.009341642,0.25633395,0.0564743,0.674641
0.37772813,0.003932673,0.1583559,0.37576804,0.41668978
1.7396858,0.0072824606,0.7432817,4.1908526,1.8674536
2.8396654,0.014950045,1.2923161,2.6648555,2.5927079
3.5419888,0.014090436,1.1444954,1.3066267,2.7065399
